[842, 595]
[folio, [375.0, 127.0, 69.0, 18.0], eeGU5Igkh_, 6513636]
[paragraph, [131.0, 162.0, 321.0, 18.0], shoonya_0sC8SDDMIIORSY, 6513636]
[paragraph, [131.0, 180.0, 321.0, 18.0], shoonya_0sC8SDDMIIORSY, 6513636]
[paragraph, [131.0, 198.0, 321.0, 18.0], shoonya_0sC8SDDMIIORSY, 6513636]
[paragraph, [131.0, 216.0, 321.0, 18.0], shoonya_0sC8SDDMIIORSY, 6513636]
[paragraph, [131.0, 234.0, 321.0, 18.0], shoonya_0sC8SDDMIIORSY, 6513636]
[paragraph, [131.0, 252.0, 321.0, 18.0], shoonya_0sC8SDDMIIORSY, 6513636]
[paragraph, [128.0, 276.0, 325.0, 18.0], shoonya_4sUFBOV2RRTLHL, 6513636]
[paragraph, [128.0, 294.0, 325.0, 18.0], shoonya_4sUFBOV2RRTLHL, 6513636]
[paragraph, [128.0, 312.0, 325.0, 18.0], shoonya_4sUFBOV2RRTLHL, 6513636]
[paragraph, [128.0, 330.0, 325.0, 18.0], shoonya_4sUFBOV2RRTLHL, 6513636]
[paragraph, [128.0, 348.0, 325.0, 18.0], shoonya_4sUFBOV2RRTLHL, 6513636]
[paragraph, [128.0, 366.0, 325.0, 18.0], shoonya_4sUFBOV2RRTLHL, 6513636]
[paragraph, [128.0, 384.0, 325.0, 18.0], shoonya_4sUFBOV2RRTLHL, 6513636]
[paragraph, [128.0, 421.0, 321.0, 18.0], Hr8r2HTgav, 6513636]
[paragraph, [128.0, 439.0, 321.0, 18.0], Hr8r2HTgav, 6513636]
[paragraph, [128.0, 457.0, 321.0, 18.0], Hr8r2HTgav, 6513636]
[paragraph, [128.0, 475.0, 321.0, 18.0], Hr8r2HTgav, 6513636]
[paragraph, [128.0, 493.0, 321.0, 18.0], Hr8r2HTgav, 6513636]
[paragraph, [128.0, 511.0, 321.0, 18.0], Hr8r2HTgav, 6513636]
[paragraph, [128.0, 529.0, 321.0, 18.0], Hr8r2HTgav, 6513636]
[paragraph, [128.0, 564.0, 323.0, 18.0], jm0A3FxcIR, 6513636]
[paragraph, [128.0, 582.0, 323.0, 18.0], jm0A3FxcIR, 6513636]
[paragraph, [128.0, 600.0, 323.0, 18.0], jm0A3FxcIR, 6513636]
[paragraph, [128.0, 618.0, 323.0, 18.0], jm0A3FxcIR, 6513636]
[paragraph, [128.0, 636.0, 323.0, 18.0], jm0A3FxcIR, 6513636]
