[1754, 1241]
[answer, [690.0, 21.0, 312.0, 36.0], yrosP1jebL, 5716150]
[answer, [690.0, 57.0, 312.0, 36.0], yrosP1jebL, 5716150]
[answer, [690.0, 93.0, 312.0, 36.0], yrosP1jebL, 5716150]
[answer, [691.0, 206.0, 464.0, 36.0], NZEmcsxq6o, 5716150]
[answer, [691.0, 242.0, 464.0, 36.0], NZEmcsxq6o, 5716150]
[answer, [691.0, 278.0, 464.0, 36.0], NZEmcsxq6o, 5716150]
[answer, [687.0, 382.0, 469.0, 36.0], qIGPeNrvo2, 5716150]
[answer, [687.0, 418.0, 469.0, 36.0], qIGPeNrvo2, 5716150]
[answer, [687.0, 454.0, 469.0, 36.0], qIGPeNrvo2, 5716150]
[answer, [687.0, 490.0, 469.0, 36.0], qIGPeNrvo2, 5716150]
[answer, [693.0, 538.0, 488.0, 36.0], 7xa0StOalK, 5716150]
[answer, [693.0, 574.0, 488.0, 36.0], 7xa0StOalK, 5716150]
[answer, [693.0, 610.0, 488.0, 36.0], 7xa0StOalK, 5716150]
[answer, [693.0, 646.0, 488.0, 36.0], 7xa0StOalK, 5716150]
[answer, [693.0, 682.0, 488.0, 36.0], 7xa0StOalK, 5716150]
[answer, [702.0, 779.0, 394.0, 36.0], giCmc92RHY, 5716150]
[answer, [702.0, 815.0, 394.0, 36.0], giCmc92RHY, 5716150]
[answer, [702.0, 851.0, 394.0, 36.0], giCmc92RHY, 5716150]
[answer, [699.0, 938.0, 424.0, 36.0], 7_4fDPRJha, 5716150]
[answer, [699.0, 974.0, 424.0, 36.0], 7_4fDPRJha, 5716150]
[answer, [699.0, 1010.0, 424.0, 36.0], 7_4fDPRJha, 5716150]
[answer, [699.0, 1096.0, 488.0, 36.0], bM29zV52EE, 5716150]
[answer, [699.0, 1132.0, 488.0, 36.0], bM29zV52EE, 5716150]
[answer, [699.0, 1168.0, 488.0, 36.0], bM29zV52EE, 5716150]
[answer, [699.0, 1204.0, 488.0, 36.0], bM29zV52EE, 5716150]
[answer, [699.0, 1240.0, 488.0, 36.0], bM29zV52EE, 5716150]
[answer, [701.0, 1313.0, 527.0, 36.0], y_tybYVcfD, 5716150]
[answer, [701.0, 1349.0, 527.0, 36.0], y_tybYVcfD, 5716150]
[answer, [701.0, 1385.0, 527.0, 36.0], y_tybYVcfD, 5716150]
[answer, [701.0, 1421.0, 527.0, 36.0], y_tybYVcfD, 5716150]
[answer, [701.0, 1457.0, 527.0, 36.0], y_tybYVcfD, 5716150]
[answer, [701.0, 1493.0, 527.0, 36.0], y_tybYVcfD, 5716150]
[contact-info, [28.0, 1567.0, 1186.0, 36.0], eC4UvnZhFF, 5716150]
[folio, [616.0, 1625.0, 170.0, 36.0], ZSc_Mv1iDF, 5716150]
[folio, [616.0, 1661.0, 170.0, 36.0], ZSc_Mv1iDF, 5716150]
[folio, [837.0, 1628.0, 133.0, 36.0], 3GEIg1-lTQ, 5716150]
[folio, [837.0, 1664.0, 133.0, 36.0], 3GEIg1-lTQ, 5716150]
[folio, [234.0, 1634.0, 97.0, 36.0], gLA5AuMODh, 5716150]
[folio, [1026.0, 1636.0, 105.0, 36.0], shoonya_0s5353MT6Z2O37, 5716150]
[folio, [101.0, 1638.0, 93.0, 36.0], 89ZffXKNS5, 5716150]
[folio, [350.0, 1638.0, 205.0, 36.0], rvgAs-Cbiy, 5716150]
