[1387, 987]
[paragraph, [88.0, 96.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 114.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 132.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 150.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 168.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 186.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 204.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 222.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 240.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 258.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 276.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 294.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 312.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 330.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 348.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [88.0, 366.0, 789.0, 18.0], shoonya_1sA6TAMB8DYUJF, 5652842]
[paragraph, [95.0, 391.0, 790.0, 18.0], shoonya_2sLGJOW08VS1VB, 5652842]
[paragraph, [95.0, 409.0, 790.0, 18.0], shoonya_2sLGJOW08VS1VB, 5652842]
[paragraph, [95.0, 427.0, 790.0, 18.0], shoonya_2sLGJOW08VS1VB, 5652842]
[paragraph, [95.0, 445.0, 790.0, 18.0], shoonya_2sLGJOW08VS1VB, 5652842]
[paragraph, [95.0, 463.0, 790.0, 18.0], shoonya_2sLGJOW08VS1VB, 5652842]
[paragraph, [95.0, 481.0, 790.0, 18.0], shoonya_2sLGJOW08VS1VB, 5652842]
[paragraph, [95.0, 499.0, 790.0, 18.0], shoonya_2sLGJOW08VS1VB, 5652842]
[paragraph, [95.0, 517.0, 790.0, 18.0], shoonya_2sLGJOW08VS1VB, 5652842]
[paragraph, [95.0, 535.0, 790.0, 18.0], shoonya_2sLGJOW08VS1VB, 5652842]
[paragraph, [95.0, 553.0, 790.0, 18.0], shoonya_2sLGJOW08VS1VB, 5652842]
[paragraph, [95.0, 571.0, 790.0, 18.0], shoonya_2sLGJOW08VS1VB, 5652842]
[paragraph, [95.0, 589.0, 790.0, 18.0], shoonya_2sLGJOW08VS1VB, 5652842]
[paragraph, [95.0, 607.0, 790.0, 18.0], shoonya_2sLGJOW08VS1VB, 5652842]
[paragraph, [89.0, 633.0, 760.0, 18.0], shoonya_0sTGM6W1HYUP6U, 5652842]
[paragraph, [89.0, 651.0, 760.0, 18.0], shoonya_0sTGM6W1HYUP6U, 5652842]
[paragraph, [89.0, 669.0, 760.0, 18.0], shoonya_0sTGM6W1HYUP6U, 5652842]
[paragraph, [89.0, 687.0, 760.0, 18.0], shoonya_0sTGM6W1HYUP6U, 5652842]
[paragraph, [89.0, 705.0, 760.0, 18.0], shoonya_0sTGM6W1HYUP6U, 5652842]
[paragraph, [89.0, 723.0, 760.0, 18.0], shoonya_0sTGM6W1HYUP6U, 5652842]
[paragraph, [89.0, 741.0, 760.0, 18.0], shoonya_0sTGM6W1HYUP6U, 5652842]
[paragraph, [89.0, 759.0, 760.0, 18.0], shoonya_0sTGM6W1HYUP6U, 5652842]
[paragraph, [89.0, 777.0, 760.0, 18.0], shoonya_0sTGM6W1HYUP6U, 5652842]
[paragraph, [89.0, 795.0, 760.0, 18.0], shoonya_0sTGM6W1HYUP6U, 5652842]
[paragraph, [89.0, 813.0, 760.0, 18.0], shoonya_0sTGM6W1HYUP6U, 5652842]
[paragraph, [89.0, 831.0, 760.0, 18.0], shoonya_0sTGM6W1HYUP6U, 5652842]
[paragraph, [89.0, 849.0, 760.0, 18.0], shoonya_0sTGM6W1HYUP6U, 5652842]
[paragraph, [90.0, 876.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 894.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 912.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 930.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 948.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 966.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 984.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 1002.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 1020.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 1038.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 1056.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 1074.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 1092.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 1110.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [90.0, 1128.0, 797.0, 18.0], tiRuzHVuxy, 5652842]
[paragraph, [92.0, 1169.0, 787.0, 18.0], U-2ekWXb2B, 5652842]
[paragraph, [92.0, 1187.0, 787.0, 18.0], U-2ekWXb2B, 5652842]
[paragraph, [92.0, 1205.0, 787.0, 18.0], U-2ekWXb2B, 5652842]
[paragraph, [92.0, 1223.0, 787.0, 18.0], U-2ekWXb2B, 5652842]
[paragraph, [92.0, 1241.0, 787.0, 18.0], U-2ekWXb2B, 5652842]
[paragraph, [92.0, 1259.0, 787.0, 18.0], U-2ekWXb2B, 5652842]
