[1723, 1092]
[paragraph, [105.0, 101.0, 645.0, 36.0], shoonya_3sIVUZSGM4PT37, 5681857]
[paragraph, [103.0, 151.0, 876.0, 36.0], shoonya_1sNK523AFYNDZM, 5681857]
[paragraph, [103.0, 187.0, 876.0, 36.0], shoonya_1sNK523AFYNDZM, 5681857]
[paragraph, [103.0, 223.0, 876.0, 36.0], shoonya_1sNK523AFYNDZM, 5681857]
[paragraph, [103.0, 259.0, 876.0, 36.0], shoonya_1sNK523AFYNDZM, 5681857]
[paragraph, [102.0, 326.0, 877.0, 36.0], xEx45O8C_R, 5681857]
[paragraph, [102.0, 362.0, 877.0, 36.0], xEx45O8C_R, 5681857]
[paragraph, [102.0, 398.0, 877.0, 36.0], xEx45O8C_R, 5681857]
[paragraph, [102.0, 434.0, 877.0, 36.0], xEx45O8C_R, 5681857]
[paragraph, [102.0, 505.0, 879.0, 36.0], n7tJ-3xcsF, 5681857]
[paragraph, [102.0, 541.0, 879.0, 36.0], n7tJ-3xcsF, 5681857]
[paragraph, [102.0, 577.0, 879.0, 36.0], n7tJ-3xcsF, 5681857]
[paragraph, [102.0, 613.0, 879.0, 36.0], n7tJ-3xcsF, 5681857]
[paragraph, [102.0, 649.0, 879.0, 36.0], n7tJ-3xcsF, 5681857]
[paragraph, [102.0, 685.0, 879.0, 36.0], n7tJ-3xcsF, 5681857]
[paragraph, [102.0, 721.0, 879.0, 36.0], n7tJ-3xcsF, 5681857]
[paragraph, [102.0, 757.0, 879.0, 36.0], n7tJ-3xcsF, 5681857]
[paragraph, [102.0, 793.0, 879.0, 36.0], n7tJ-3xcsF, 5681857]
[paragraph, [102.0, 829.0, 879.0, 36.0], n7tJ-3xcsF, 5681857]
[paragraph, [102.0, 865.0, 879.0, 36.0], n7tJ-3xcsF, 5681857]
[paragraph, [102.0, 901.0, 879.0, 36.0], n7tJ-3xcsF, 5681857]
[paragraph, [106.0, 947.0, 878.0, 36.0], shoonya_0sDFVVCR49D1WG, 5681857]
[paragraph, [106.0, 983.0, 878.0, 36.0], shoonya_0sDFVVCR49D1WG, 5681857]
[paragraph, [106.0, 1019.0, 878.0, 36.0], shoonya_0sDFVVCR49D1WG, 5681857]
[paragraph, [106.0, 1055.0, 878.0, 36.0], shoonya_0sDFVVCR49D1WG, 5681857]
[paragraph, [106.0, 1091.0, 878.0, 36.0], shoonya_0sDFVVCR49D1WG, 5681857]
[paragraph, [106.0, 1127.0, 878.0, 36.0], shoonya_0sDFVVCR49D1WG, 5681857]
[paragraph, [106.0, 1163.0, 878.0, 36.0], shoonya_0sDFVVCR49D1WG, 5681857]
[paragraph, [106.0, 1199.0, 878.0, 36.0], shoonya_0sDFVVCR49D1WG, 5681857]
[paragraph, [106.0, 1235.0, 878.0, 36.0], shoonya_0sDFVVCR49D1WG, 5681857]
[paragraph, [106.0, 1271.0, 878.0, 36.0], shoonya_0sDFVVCR49D1WG, 5681857]
[paragraph, [106.0, 1307.0, 878.0, 36.0], shoonya_0sDFVVCR49D1WG, 5681857]
[paragraph, [107.0, 1347.0, 881.0, 36.0], shoonya_2sKWHGL9C7OVNO, 5681857]
[paragraph, [107.0, 1383.0, 881.0, 36.0], shoonya_2sKWHGL9C7OVNO, 5681857]
[paragraph, [107.0, 1419.0, 881.0, 36.0], shoonya_2sKWHGL9C7OVNO, 5681857]
[paragraph, [107.0, 1455.0, 881.0, 36.0], shoonya_2sKWHGL9C7OVNO, 5681857]
[paragraph, [107.0, 1491.0, 881.0, 36.0], shoonya_2sKWHGL9C7OVNO, 5681857]
[paragraph, [107.0, 1527.0, 881.0, 36.0], shoonya_2sKWHGL9C7OVNO, 5681857]
