[1818, 1374]
[folio, [489.0, 157.0, 414.0, 36.0], shoonya_1sX41N5ODSUPKS, 5682782]
[paragraph, [700.0, 223.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 259.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 295.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 331.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 367.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 403.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 439.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 475.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 511.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 547.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 583.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 619.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 655.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 691.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 727.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 763.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 799.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 835.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 871.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 907.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 943.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 979.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 1015.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 1051.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 1087.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 1123.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 1159.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 1195.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 1231.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 1267.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 1303.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 1339.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
[paragraph, [700.0, 1375.0, 570.0, 36.0], 9sF2qMxuOO, 5682782]
