[2000, 1414]
[headline, [51.0, 52.0, 1344.0, 67.5], shoonya_1sFMZOH0272CHG, 6491726]
[headline, [51.0, 119.5, 1344.0, 67.5], shoonya_1sFMZOH0272CHG, 6491726]
[headline, [51.0, 187.0, 1344.0, 67.5], shoonya_1sFMZOH0272CHG, 6491726]
[headline, [51.0, 254.5, 1344.0, 67.5], shoonya_1sFMZOH0272CHG, 6491726]
[headline, [51.0, 322.0, 1344.0, 67.5], shoonya_1sFMZOH0272CHG, 6491726]
[sidebar, [397.0, 1265.0, 298.0, 36.0], NTJcIaQgHu, 6491726]
[sidebar, [397.0, 1301.0, 298.0, 36.0], NTJcIaQgHu, 6491726]
[sidebar, [397.0, 1337.0, 298.0, 36.0], NTJcIaQgHu, 6491726]
[sidebar, [397.0, 1373.0, 298.0, 36.0], NTJcIaQgHu, 6491726]
[sidebar, [397.0, 1409.0, 298.0, 36.0], NTJcIaQgHu, 6491726]
[sidebar, [397.0, 1445.0, 298.0, 36.0], NTJcIaQgHu, 6491726]
[sidebar, [397.0, 1481.0, 298.0, 36.0], NTJcIaQgHu, 6491726]
[sidebar, [397.0, 1517.0, 298.0, 36.0], NTJcIaQgHu, 6491726]
[sidebar, [397.0, 1553.0, 298.0, 36.0], NTJcIaQgHu, 6491726]
[sidebar, [397.0, 1589.0, 298.0, 36.0], NTJcIaQgHu, 6491726]
[sidebar, [397.0, 1625.0, 298.0, 36.0], NTJcIaQgHu, 6491726]
[sidebar, [397.0, 1661.0, 298.0, 36.0], NTJcIaQgHu, 6491726]
[sidebar, [397.0, 1697.0, 298.0, 36.0], NTJcIaQgHu, 6491726]
[paragraph, [723.0, 1265.0, 260.0, 36.0], shoonya_3s31PFHTI5WR19, 6491726]
[paragraph, [723.0, 1301.0, 260.0, 36.0], shoonya_3s31PFHTI5WR19, 6491726]
[paragraph, [723.0, 1337.0, 260.0, 36.0], shoonya_3s31PFHTI5WR19, 6491726]
[paragraph, [723.0, 1373.0, 260.0, 36.0], shoonya_3s31PFHTI5WR19, 6491726]
[paragraph, [723.0, 1409.0, 260.0, 36.0], shoonya_3s31PFHTI5WR19, 6491726]
[paragraph, [723.0, 1445.0, 260.0, 36.0], shoonya_3s31PFHTI5WR19, 6491726]
[paragraph, [723.0, 1481.0, 260.0, 36.0], shoonya_3s31PFHTI5WR19, 6491726]
[paragraph, [723.0, 1517.0, 260.0, 36.0], shoonya_3s31PFHTI5WR19, 6491726]
[paragraph, [723.0, 1553.0, 260.0, 36.0], shoonya_3s31PFHTI5WR19, 6491726]
[paragraph, [1043.0, 1272.0, 262.0, 36.0], shoonya_4sSKM0U2SHS4B6, 6491726]
[paragraph, [1043.0, 1308.0, 262.0, 36.0], shoonya_4sSKM0U2SHS4B6, 6491726]
[paragraph, [1043.0, 1344.0, 262.0, 36.0], shoonya_4sSKM0U2SHS4B6, 6491726]
[paragraph, [1043.0, 1380.0, 262.0, 36.0], shoonya_4sSKM0U2SHS4B6, 6491726]
[paragraph, [1043.0, 1416.0, 262.0, 36.0], shoonya_4sSKM0U2SHS4B6, 6491726]
[paragraph, [1043.0, 1452.0, 262.0, 36.0], shoonya_4sSKM0U2SHS4B6, 6491726]
[paragraph, [1043.0, 1488.0, 262.0, 36.0], shoonya_4sSKM0U2SHS4B6, 6491726]
[paragraph, [1043.0, 1524.0, 262.0, 36.0], shoonya_4sSKM0U2SHS4B6, 6491726]
[paragraph, [1043.0, 1560.0, 262.0, 36.0], shoonya_4sSKM0U2SHS4B6, 6491726]
