[2200, 1700]
[paragraph, [315.0, 74.0, 1093.0, 36.0], shoonya_5sNAA29HUSDC31, 5731322]
[paragraph, [315.0, 110.0, 1093.0, 36.0], shoonya_5sNAA29HUSDC31, 5731322]
[paragraph, [315.0, 146.0, 1093.0, 36.0], shoonya_5sNAA29HUSDC31, 5731322]
[paragraph, [315.0, 182.0, 1093.0, 36.0], shoonya_5sNAA29HUSDC31, 5731322]
[paragraph, [315.0, 218.0, 1093.0, 36.0], shoonya_5sNAA29HUSDC31, 5731322]
[paragraph, [315.0, 254.0, 1093.0, 36.0], shoonya_5sNAA29HUSDC31, 5731322]
[paragraph, [316.0, 316.0, 1105.0, 36.0], 1XrQ-bxYx5, 5731322]
[paragraph, [316.0, 352.0, 1105.0, 36.0], 1XrQ-bxYx5, 5731322]
[paragraph, [316.0, 388.0, 1105.0, 36.0], 1XrQ-bxYx5, 5731322]
[paragraph, [316.0, 424.0, 1105.0, 36.0], 1XrQ-bxYx5, 5731322]
[section-title, [517.0, 525.0, 712.0, 52.5], shoonya_6s8EKP9SO5AT7F, 5731322]
[paragraph, [527.0, 605.0, 374.0, 36.0], shoonya_3sCVGTDLWZC2LL, 5731322]
[paragraph, [333.0, 676.0, 1087.0, 36.0], shoonya_0sE2TA9PUQTGNW, 5731322]
[paragraph, [333.0, 712.0, 1087.0, 36.0], shoonya_0sE2TA9PUQTGNW, 5731322]
[paragraph, [333.0, 748.0, 1087.0, 36.0], shoonya_0sE2TA9PUQTGNW, 5731322]
[paragraph, [333.0, 784.0, 1087.0, 36.0], shoonya_0sE2TA9PUQTGNW, 5731322]
[paragraph, [333.0, 820.0, 1087.0, 36.0], shoonya_0sE2TA9PUQTGNW, 5731322]
[paragraph, [333.0, 856.0, 1087.0, 36.0], shoonya_0sE2TA9PUQTGNW, 5731322]
[paragraph, [333.0, 892.0, 1087.0, 36.0], shoonya_0sE2TA9PUQTGNW, 5731322]
[paragraph, [333.0, 928.0, 1087.0, 36.0], shoonya_0sE2TA9PUQTGNW, 5731322]
[paragraph, [333.0, 964.0, 1087.0, 36.0], shoonya_0sE2TA9PUQTGNW, 5731322]
[paragraph, [333.0, 1000.0, 1087.0, 36.0], shoonya_0sE2TA9PUQTGNW, 5731322]
[paragraph, [333.0, 1036.0, 1087.0, 36.0], shoonya_0sE2TA9PUQTGNW, 5731322]
[paragraph, [333.0, 1072.0, 1087.0, 36.0], shoonya_0sE2TA9PUQTGNW, 5731322]
[paragraph, [333.0, 1108.0, 1087.0, 36.0], shoonya_0sE2TA9PUQTGNW, 5731322]
[paragraph, [343.0, 1170.0, 1075.0, 36.0], shoonya_1sHC1CCO43Q0U7, 5731322]
[paragraph, [343.0, 1206.0, 1075.0, 36.0], shoonya_1sHC1CCO43Q0U7, 5731322]
[paragraph, [343.0, 1242.0, 1075.0, 36.0], shoonya_1sHC1CCO43Q0U7, 5731322]
[paragraph, [343.0, 1278.0, 1075.0, 36.0], shoonya_1sHC1CCO43Q0U7, 5731322]
[paragraph, [343.0, 1314.0, 1075.0, 36.0], shoonya_1sHC1CCO43Q0U7, 5731322]
[paragraph, [343.0, 1350.0, 1075.0, 36.0], shoonya_1sHC1CCO43Q0U7, 5731322]
[paragraph, [343.0, 1386.0, 1075.0, 36.0], shoonya_1sHC1CCO43Q0U7, 5731322]
[paragraph, [343.0, 1422.0, 1075.0, 36.0], shoonya_1sHC1CCO43Q0U7, 5731322]
[paragraph, [343.0, 1458.0, 1075.0, 36.0], shoonya_1sHC1CCO43Q0U7, 5731322]
[paragraph, [343.0, 1494.0, 1075.0, 36.0], shoonya_1sHC1CCO43Q0U7, 5731322]
[paragraph, [329.0, 1544.0, 1091.0, 36.0], shoonya_2sI0DF8YXVAA0H, 5731322]
[paragraph, [329.0, 1580.0, 1091.0, 36.0], shoonya_2sI0DF8YXVAA0H, 5731322]
[paragraph, [329.0, 1616.0, 1091.0, 36.0], shoonya_2sI0DF8YXVAA0H, 5731322]
[paragraph, [329.0, 1652.0, 1091.0, 36.0], shoonya_2sI0DF8YXVAA0H, 5731322]
[paragraph, [329.0, 1688.0, 1091.0, 36.0], shoonya_2sI0DF8YXVAA0H, 5731322]
[paragraph, [329.0, 1724.0, 1091.0, 36.0], shoonya_2sI0DF8YXVAA0H, 5731322]
[paragraph, [329.0, 1760.0, 1091.0, 36.0], shoonya_2sI0DF8YXVAA0H, 5731322]
[paragraph, [348.0, 1824.0, 1084.0, 36.0], j4EF3gSJQo, 5731322]
[paragraph, [348.0, 1860.0, 1084.0, 36.0], j4EF3gSJQo, 5731322]
[paragraph, [348.0, 1896.0, 1084.0, 36.0], j4EF3gSJQo, 5731322]
[folio, [955.0, 2013.0, 379.0, 36.0], KLNfl1YLIn, 5731322]
