[2278, 1778]
[folio, [128.0, 51.0, 268.0, 36.0], shoonya_0sV2WHV7T93Y1H, 5755277]
[folio, [128.0, 87.0, 268.0, 36.0], shoonya_0sV2WHV7T93Y1H, 5755277]
[folio, [1382.0, 75.0, 264.0, 36.0], 6MYMO5ltfi, 5755277]
[paragraph, [1209.0, 297.0, 375.0, 36.0], 98-zpM6iQx, 5755277]
[paragraph, [1209.0, 333.0, 375.0, 36.0], 98-zpM6iQx, 5755277]
[paragraph, [1209.0, 369.0, 375.0, 36.0], 98-zpM6iQx, 5755277]
[paragraph, [1209.0, 405.0, 375.0, 36.0], 98-zpM6iQx, 5755277]
[paragraph, [1209.0, 441.0, 375.0, 36.0], 98-zpM6iQx, 5755277]
[paragraph, [1209.0, 477.0, 375.0, 36.0], 98-zpM6iQx, 5755277]
[paragraph, [1209.0, 513.0, 375.0, 36.0], 98-zpM6iQx, 5755277]
[paragraph, [1209.0, 549.0, 375.0, 36.0], 98-zpM6iQx, 5755277]
[paragraph, [1209.0, 585.0, 375.0, 36.0], 98-zpM6iQx, 5755277]
[paragraph, [1209.0, 621.0, 375.0, 36.0], 98-zpM6iQx, 5755277]
[paragraph, [211.0, 300.0, 337.0, 36.0], 7EEfXvcbbN, 5755277]
[paragraph, [211.0, 336.0, 337.0, 36.0], 7EEfXvcbbN, 5755277]
[paragraph, [211.0, 372.0, 337.0, 36.0], 7EEfXvcbbN, 5755277]
[paragraph, [211.0, 408.0, 337.0, 36.0], 7EEfXvcbbN, 5755277]
[paragraph, [211.0, 444.0, 337.0, 36.0], 7EEfXvcbbN, 5755277]
[paragraph, [211.0, 480.0, 337.0, 36.0], 7EEfXvcbbN, 5755277]
[paragraph, [211.0, 516.0, 337.0, 36.0], 7EEfXvcbbN, 5755277]
[paragraph, [211.0, 552.0, 337.0, 36.0], 7EEfXvcbbN, 5755277]
[paragraph, [211.0, 588.0, 337.0, 36.0], 7EEfXvcbbN, 5755277]
[paragraph, [211.0, 624.0, 337.0, 36.0], 7EEfXvcbbN, 5755277]
[paragraph, [722.0, 695.0, 322.0, 36.0], bPMayCS7dy, 5755277]
[paragraph, [722.0, 731.0, 322.0, 36.0], bPMayCS7dy, 5755277]
[paragraph, [722.0, 767.0, 322.0, 36.0], bPMayCS7dy, 5755277]
[paragraph, [722.0, 803.0, 322.0, 36.0], bPMayCS7dy, 5755277]
[paragraph, [722.0, 839.0, 322.0, 36.0], bPMayCS7dy, 5755277]
[paragraph, [722.0, 875.0, 322.0, 36.0], bPMayCS7dy, 5755277]
[paragraph, [722.0, 911.0, 322.0, 36.0], bPMayCS7dy, 5755277]
[paragraph, [722.0, 947.0, 322.0, 36.0], bPMayCS7dy, 5755277]
[paragraph, [722.0, 983.0, 322.0, 36.0], bPMayCS7dy, 5755277]
[paragraph, [1224.0, 997.0, 353.0, 36.0], VdrAP8Pp24, 5755277]
[paragraph, [1224.0, 1033.0, 353.0, 36.0], VdrAP8Pp24, 5755277]
[paragraph, [1224.0, 1069.0, 353.0, 36.0], VdrAP8Pp24, 5755277]
