[1347, 847]
[paragraph, [28.0, 31.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 49.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 67.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 85.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 103.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 121.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 139.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 157.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 175.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 193.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 211.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 229.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 247.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 265.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 283.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 301.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 319.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [28.0, 337.0, 791.0, 18.0], dJOLE1zt9P, 5660969]
[paragraph, [34.0, 359.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 377.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 395.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 413.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 431.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 449.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 467.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 485.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 503.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 521.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 539.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 557.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 575.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 593.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 611.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 629.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 647.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 665.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 683.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 701.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 719.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 737.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 755.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 773.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 791.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 809.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
[paragraph, [34.0, 827.0, 784.0, 18.0], ZLYsDHW_Z1, 5660969]
