[2342, 1656]
[section-title, [90.0, 132.0, 820.0, 52.5], 2yNU7tUsMx, 5656879]
[section-title, [90.0, 184.5, 820.0, 52.5], 2yNU7tUsMx, 5656879]
[section-title, [90.0, 237.0, 820.0, 52.5], 2yNU7tUsMx, 5656879]
[paragraph, [90.0, 297.0, 1490.0, 36.0], eiFNZpGX-4, 5656879]
[paragraph, [90.0, 333.0, 1490.0, 36.0], eiFNZpGX-4, 5656879]
[figure-caption, [401.0, 454.0, 942.0, 36.0], 9zOQTfAKGe, 5656879]
[figure-caption, [401.0, 490.0, 942.0, 36.0], 9zOQTfAKGe, 5656879]
[figure-caption, [399.0, 601.0, 1170.0, 36.0], SmoHadkIxX, 5656879]
[figure-caption, [399.0, 637.0, 1170.0, 36.0], SmoHadkIxX, 5656879]
[figure-caption, [399.0, 673.0, 1170.0, 36.0], SmoHadkIxX, 5656879]
[figure-caption, [399.0, 709.0, 1170.0, 36.0], SmoHadkIxX, 5656879]
[figure-caption, [392.0, 789.0, 1135.0, 36.0], I0K7AIqAJ8, 5656879]
[figure-caption, [392.0, 825.0, 1135.0, 36.0], I0K7AIqAJ8, 5656879]
[figure-caption, [392.0, 861.0, 1135.0, 36.0], I0K7AIqAJ8, 5656879]
[figure-caption, [392.0, 897.0, 1135.0, 36.0], I0K7AIqAJ8, 5656879]
[figure-caption, [417.0, 1041.0, 1091.0, 36.0], QoDYkiX37J, 5656879]
[figure-caption, [417.0, 1077.0, 1091.0, 36.0], QoDYkiX37J, 5656879]
[figure-caption, [417.0, 1113.0, 1091.0, 36.0], QoDYkiX37J, 5656879]
[figure-caption, [417.0, 1149.0, 1091.0, 36.0], QoDYkiX37J, 5656879]
[figure-caption, [378.0, 1244.0, 1155.0, 36.0], ynh_WSO7nc, 5656879]
[figure-caption, [378.0, 1280.0, 1155.0, 36.0], ynh_WSO7nc, 5656879]
[figure-caption, [378.0, 1316.0, 1155.0, 36.0], ynh_WSO7nc, 5656879]
[figure-caption, [378.0, 1352.0, 1155.0, 36.0], ynh_WSO7nc, 5656879]
[figure-caption, [396.0, 1442.0, 1099.0, 36.0], P3C38rgQUm, 5656879]
[figure-caption, [396.0, 1478.0, 1099.0, 36.0], P3C38rgQUm, 5656879]
[figure-caption, [396.0, 1514.0, 1099.0, 36.0], P3C38rgQUm, 5656879]
[figure-caption, [396.0, 1550.0, 1099.0, 36.0], P3C38rgQUm, 5656879]
[figure-caption, [374.0, 1653.0, 1145.0, 36.0], 2SHMjTq5e6, 5656879]
[figure-caption, [374.0, 1689.0, 1145.0, 36.0], 2SHMjTq5e6, 5656879]
[figure-caption, [374.0, 1725.0, 1145.0, 36.0], 2SHMjTq5e6, 5656879]
[figure-caption, [374.0, 1761.0, 1145.0, 36.0], 2SHMjTq5e6, 5656879]
[figure-caption, [380.0, 1866.0, 1157.0, 36.0], VOrOmi4gkD, 5656879]
[figure-caption, [380.0, 1902.0, 1157.0, 36.0], VOrOmi4gkD, 5656879]
[figure-caption, [380.0, 1938.0, 1157.0, 36.0], VOrOmi4gkD, 5656879]
[figure-caption, [380.0, 1974.0, 1157.0, 36.0], VOrOmi4gkD, 5656879]
