[2339, 1653]
[paragraph, [251.0, 245.0, 1148.0, 36.0], shoonya_3sD9U5GKVFB1ID, 5687188]
[paragraph, [251.0, 281.0, 1148.0, 36.0], shoonya_3sD9U5GKVFB1ID, 5687188]
[paragraph, [251.0, 317.0, 1148.0, 36.0], shoonya_3sD9U5GKVFB1ID, 5687188]
[paragraph, [250.0, 377.0, 1152.0, 36.0], shoonya_0s8N09PRO020V3, 5687188]
[paragraph, [250.0, 413.0, 1152.0, 36.0], shoonya_0s8N09PRO020V3, 5687188]
[paragraph, [250.0, 449.0, 1152.0, 36.0], shoonya_0s8N09PRO020V3, 5687188]
[paragraph, [250.0, 485.0, 1152.0, 36.0], shoonya_0s8N09PRO020V3, 5687188]
[paragraph, [250.0, 521.0, 1152.0, 36.0], shoonya_0s8N09PRO020V3, 5687188]
[paragraph, [250.0, 557.0, 1152.0, 36.0], shoonya_0s8N09PRO020V3, 5687188]
[paragraph, [250.0, 593.0, 1152.0, 36.0], shoonya_0s8N09PRO020V3, 5687188]
[paragraph, [250.0, 629.0, 1152.0, 36.0], shoonya_0s8N09PRO020V3, 5687188]
[paragraph, [250.0, 665.0, 1152.0, 36.0], shoonya_0s8N09PRO020V3, 5687188]
[paragraph, [250.0, 701.0, 1152.0, 36.0], shoonya_0s8N09PRO020V3, 5687188]
[paragraph, [250.0, 737.0, 1152.0, 36.0], shoonya_0s8N09PRO020V3, 5687188]
[paragraph, [250.0, 773.0, 1152.0, 36.0], shoonya_0s8N09PRO020V3, 5687188]
[section-title, [252.0, 844.0, 225.0, 52.5], OafcNiKVxm, 5687188]
[paragraph, [252.0, 911.0, 1153.0, 36.0], shoonya_1sAV996HW4Z30B, 5687188]
[paragraph, [252.0, 947.0, 1153.0, 36.0], shoonya_1sAV996HW4Z30B, 5687188]
[paragraph, [252.0, 983.0, 1153.0, 36.0], shoonya_1sAV996HW4Z30B, 5687188]
[paragraph, [252.0, 1019.0, 1153.0, 36.0], shoonya_1sAV996HW4Z30B, 5687188]
[paragraph, [252.0, 1055.0, 1153.0, 36.0], shoonya_1sAV996HW4Z30B, 5687188]
[reference, [426.0, 1116.0, 198.0, 36.0], HH3j8XdokX, 5687188]
[paragraph, [250.0, 1118.0, 169.0, 36.0], bTOWqXC593, 5687188]
[paragraph, [247.0, 1178.0, 1157.0, 36.0], shoonya_2sYU6GK5G1BQOA, 5687188]
[paragraph, [247.0, 1214.0, 1157.0, 36.0], shoonya_2sYU6GK5G1BQOA, 5687188]
[paragraph, [247.0, 1250.0, 1157.0, 36.0], shoonya_2sYU6GK5G1BQOA, 5687188]
[paragraph, [247.0, 1286.0, 1157.0, 36.0], shoonya_2sYU6GK5G1BQOA, 5687188]
[paragraph, [247.0, 1322.0, 1157.0, 36.0], shoonya_2sYU6GK5G1BQOA, 5687188]
[paragraph, [247.0, 1358.0, 1157.0, 36.0], shoonya_2sYU6GK5G1BQOA, 5687188]
[paragraph, [247.0, 1394.0, 1157.0, 36.0], shoonya_2sYU6GK5G1BQOA, 5687188]
[paragraph, [247.0, 1430.0, 1157.0, 36.0], shoonya_2sYU6GK5G1BQOA, 5687188]
[paragraph, [247.0, 1466.0, 1157.0, 36.0], shoonya_2sYU6GK5G1BQOA, 5687188]
[paragraph, [247.0, 1502.0, 1157.0, 36.0], shoonya_2sYU6GK5G1BQOA, 5687188]
[paragraph, [247.0, 1538.0, 1157.0, 36.0], shoonya_2sYU6GK5G1BQOA, 5687188]
[paragraph, [247.0, 1574.0, 1157.0, 36.0], shoonya_2sYU6GK5G1BQOA, 5687188]
[paragraph, [448.0, 1643.0, 823.0, 36.0], shoonya_5s9CE9QE2863JJ, 5687188]
[paragraph, [448.0, 1679.0, 823.0, 36.0], shoonya_5s9CE9QE2863JJ, 5687188]
[paragraph, [448.0, 1715.0, 823.0, 36.0], shoonya_5s9CE9QE2863JJ, 5687188]
[paragraph, [448.0, 1751.0, 823.0, 36.0], shoonya_5s9CE9QE2863JJ, 5687188]
[paragraph, [455.0, 1822.0, 277.0, 36.0], mNLrMiH6G6, 5687188]
[reference, [739.0, 1822.0, 280.0, 36.0], 9dj0XVaxNv, 5687188]
[paragraph, [447.0, 1877.0, 825.0, 36.0], CfbM9qcrbD, 5687188]
[paragraph, [447.0, 1913.0, 825.0, 36.0], CfbM9qcrbD, 5687188]
[paragraph, [447.0, 1949.0, 825.0, 36.0], CfbM9qcrbD, 5687188]
[paragraph, [445.0, 1994.0, 587.0, 36.0], zZb-gM4C25, 5687188]
[reference, [1032.0, 1995.0, 233.0, 36.0], shoonya_4sW0UVEC4W0NWD, 5687188]
