[834, 618]
[folio, [49.0, 42.0, 79.0, 18.0], 6ecqRJmJx-, 5713149]
[headline, [50.0, 77.0, 206.0, 25.5], shoonya_6sRH076MKFDJ5B, 5713149]
[headline, [50.0, 102.5, 206.0, 25.5], shoonya_6sRH076MKFDJ5B, 5713149]
[headline, [50.0, 128.0, 206.0, 25.5], shoonya_6sRH076MKFDJ5B, 5713149]
[headline, [50.0, 153.5, 206.0, 25.5], shoonya_6sRH076MKFDJ5B, 5713149]
[headline, [50.0, 179.0, 206.0, 25.5], shoonya_6sRH076MKFDJ5B, 5713149]
[headline, [50.0, 204.5, 206.0, 25.5], shoonya_6sRH076MKFDJ5B, 5713149]
[headline, [50.0, 230.0, 206.0, 25.5], shoonya_6sRH076MKFDJ5B, 5713149]
[headline, [50.0, 255.5, 206.0, 25.5], shoonya_6sRH076MKFDJ5B, 5713149]
[paragraph, [43.0, 309.0, 220.0, 18.0], MB6UqEjNSk, 5713149]
[paragraph, [43.0, 327.0, 220.0, 18.0], MB6UqEjNSk, 5713149]
[paragraph, [43.0, 345.0, 220.0, 18.0], MB6UqEjNSk, 5713149]
[paragraph, [43.0, 363.0, 220.0, 18.0], MB6UqEjNSk, 5713149]
[paragraph, [43.0, 381.0, 220.0, 18.0], MB6UqEjNSk, 5713149]
[paragraph, [43.0, 399.0, 220.0, 18.0], MB6UqEjNSk, 5713149]
[paragraph, [43.0, 417.0, 220.0, 18.0], MB6UqEjNSk, 5713149]
[paragraph, [43.0, 435.0, 220.0, 18.0], MB6UqEjNSk, 5713149]
[paragraph, [43.0, 453.0, 220.0, 18.0], MB6UqEjNSk, 5713149]
[paragraph, [314.0, 491.0, 255.0, 18.0], shoonya_2sMKDZLIK2IL7Z, 5713149]
[paragraph, [314.0, 509.0, 255.0, 18.0], shoonya_2sMKDZLIK2IL7Z, 5713149]
[paragraph, [314.0, 527.0, 255.0, 18.0], shoonya_2sMKDZLIK2IL7Z, 5713149]
[paragraph, [314.0, 545.0, 255.0, 18.0], shoonya_2sMKDZLIK2IL7Z, 5713149]
[paragraph, [314.0, 563.0, 255.0, 18.0], shoonya_2sMKDZLIK2IL7Z, 5713149]
[paragraph, [46.0, 492.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 510.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 528.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 546.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 564.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 582.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 600.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 618.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 636.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 654.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 672.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 690.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 708.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 726.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [46.0, 744.0, 263.0, 18.0], shoonya_5sNSOIC40O9UNJ, 5713149]
[paragraph, [314.0, 594.0, 261.0, 18.0], shoonya_4sGF0M81D17TXB, 5713149]
[paragraph, [314.0, 612.0, 261.0, 18.0], shoonya_4sGF0M81D17TXB, 5713149]
[paragraph, [314.0, 630.0, 261.0, 18.0], shoonya_4sGF0M81D17TXB, 5713149]
[paragraph, [314.0, 648.0, 261.0, 18.0], shoonya_4sGF0M81D17TXB, 5713149]
[paragraph, [314.0, 666.0, 261.0, 18.0], shoonya_4sGF0M81D17TXB, 5713149]
[paragraph, [314.0, 684.0, 261.0, 18.0], shoonya_4sGF0M81D17TXB, 5713149]
[paragraph, [314.0, 702.0, 261.0, 18.0], shoonya_4sGF0M81D17TXB, 5713149]
[paragraph, [314.0, 720.0, 261.0, 18.0], shoonya_4sGF0M81D17TXB, 5713149]
[paragraph, [314.0, 738.0, 261.0, 18.0], shoonya_4sGF0M81D17TXB, 5713149]
[folio, [70.0, 772.0, 110.0, 18.0], QKQ2NhOMoq, 5713149]
