[3508, 2481]
[section-title, [673.0, 99.0, 1139.0, 93.0], 3q4RtICjpR, 6516094]
[contact-info, [201.0, 273.0, 841.0, 52.5], v6phXfuU7H, 6516094]
[contact-info, [201.0, 325.5, 841.0, 52.5], v6phXfuU7H, 6516094]
[contact-info, [201.0, 378.0, 841.0, 52.5], v6phXfuU7H, 6516094]
[sub-section-title, [829.0, 500.0, 773.0, 73.5], UjUGxUHY7S, 6516094]
[folio, [608.0, 742.0, 1254.0, 52.5], 8Kne3KQWsY, 6516094]
[folio, [608.0, 794.5, 1254.0, 52.5], 8Kne3KQWsY, 6516094]
[dateline, [1940.0, 984.0, 319.0, 52.5], X9C9eUgmQy, 6516094]
[paragraph, [223.0, 1255.0, 260.0, 52.5], 2hM9YJPrEA, 6516094]
[paragraph, [223.0, 1357.0, 2058.0, 52.5], Ay8WrIpud4, 6516094]
[paragraph, [223.0, 1409.5, 2058.0, 52.5], Ay8WrIpud4, 6516094]
[paragraph, [223.0, 1462.0, 2058.0, 52.5], Ay8WrIpud4, 6516094]
[paragraph, [223.0, 1514.5, 2058.0, 52.5], Ay8WrIpud4, 6516094]
[paragraph, [223.0, 1567.0, 2058.0, 52.5], Ay8WrIpud4, 6516094]
[paragraph, [223.0, 1619.5, 2058.0, 52.5], Ay8WrIpud4, 6516094]
[ordered-list, [260.0, 1789.0, 2002.0, 52.5], zevW-T6sYA, 6516094]
[ordered-list, [260.0, 1841.5, 2002.0, 52.5], zevW-T6sYA, 6516094]
[ordered-list, [260.0, 1894.0, 2002.0, 52.5], zevW-T6sYA, 6516094]
[ordered-list, [260.0, 1946.5, 2002.0, 52.5], zevW-T6sYA, 6516094]
[ordered-list, [260.0, 1999.0, 2002.0, 52.5], zevW-T6sYA, 6516094]
[ordered-list, [260.0, 2051.5, 2002.0, 52.5], zevW-T6sYA, 6516094]
[ordered-list, [260.0, 2104.0, 2002.0, 52.5], zevW-T6sYA, 6516094]
[ordered-list, [260.0, 2156.5, 2002.0, 52.5], zevW-T6sYA, 6516094]
[ordered-list, [260.0, 2209.0, 2002.0, 52.5], zevW-T6sYA, 6516094]
[ordered-list, [260.0, 2261.5, 2002.0, 52.5], zevW-T6sYA, 6516094]
[figure-caption, [1825.0, 2718.0, 459.0, 52.5], E949ryidOr, 6516094]
[figure-caption, [1825.0, 2770.5, 459.0, 52.5], E949ryidOr, 6516094]
[contact-info, [965.0, 3281.0, 512.0, 52.5], icDvD5nnmB, 6516094]
[contact-info, [965.0, 3333.5, 512.0, 52.5], icDvD5nnmB, 6516094]
