[3508, 2481]
[contact-info, [649.0, 136.0, 1423.0, 52.5], 4fyKhoUagt, 6490553]
[contact-info, [649.0, 188.5, 1423.0, 52.5], 4fyKhoUagt, 6490553]
[contact-info, [649.0, 241.0, 1423.0, 52.5], 4fyKhoUagt, 6490553]
[contact-info, [649.0, 293.5, 1423.0, 52.5], 4fyKhoUagt, 6490553]
[headline, [687.0, 463.0, 1088.0, 52.5], RDJN1PPQGO, 6490553]
[headline, [687.0, 515.5, 1088.0, 52.5], RDJN1PPQGO, 6490553]
[headline, [687.0, 568.0, 1088.0, 52.5], RDJN1PPQGO, 6490553]
[sub-headline, [198.0, 705.0, 1287.0, 73.5], SzbqhLWe7X, 6490553]
[placeholder-text, [1980.0, 948.0, 289.0, 18.0], ySd6utVadc, 6490553]
[placeholder-text, [1980.0, 966.0, 289.0, 18.0], ySd6utVadc, 6490553]
[placeholder-text, [1980.0, 984.0, 289.0, 18.0], ySd6utVadc, 6490553]
[placeholder-text, [1980.0, 1002.0, 289.0, 18.0], ySd6utVadc, 6490553]
[placeholder-text, [1980.0, 1020.0, 289.0, 18.0], ySd6utVadc, 6490553]
[placeholder-text, [1980.0, 1038.0, 289.0, 18.0], ySd6utVadc, 6490553]
[paragraph, [202.0, 1225.0, 494.0, 52.5], JaY7KRJMpF, 6490553]
[paragraph, [192.0, 1331.0, 2104.0, 52.5], Bcy0Rb-66y, 6490553]
[paragraph, [192.0, 1383.5, 2104.0, 52.5], Bcy0Rb-66y, 6490553]
[paragraph, [192.0, 1436.0, 2104.0, 52.5], Bcy0Rb-66y, 6490553]
[paragraph, [192.0, 1488.5, 2104.0, 52.5], Bcy0Rb-66y, 6490553]
[paragraph, [192.0, 1541.0, 2104.0, 52.5], Bcy0Rb-66y, 6490553]
[paragraph, [192.0, 1593.5, 2104.0, 52.5], Bcy0Rb-66y, 6490553]
[paragraph, [189.0, 1925.0, 2089.0, 52.5], XPLJpymIVd, 6490553]
[paragraph, [189.0, 1977.5, 2089.0, 52.5], XPLJpymIVd, 6490553]
[paragraph, [189.0, 2030.0, 2089.0, 52.5], XPLJpymIVd, 6490553]
[paragraph, [189.0, 2082.5, 2089.0, 52.5], XPLJpymIVd, 6490553]
[contact-info, [1765.0, 2459.0, 512.0, 52.5], umKsS2_nL_, 6490553]
[contact-info, [1765.0, 2511.5, 512.0, 52.5], umKsS2_nL_, 6490553]
[contact-info, [1759.0, 3252.0, 537.0, 52.5], QQt0tugwNE, 6490553]
[contact-info, [1759.0, 3304.5, 537.0, 52.5], QQt0tugwNE, 6490553]
