[1240, 875]
[paragraph, [54.0, 35.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 53.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 71.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 89.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 107.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 125.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 143.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 161.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 179.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 197.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 215.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 233.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 251.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 269.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 287.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 305.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 323.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 341.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 359.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 377.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 395.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 413.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 431.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 449.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 467.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 485.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 503.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 521.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 539.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 557.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 575.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 593.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 611.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 629.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 647.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 665.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 683.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 701.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 719.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 737.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 755.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 773.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 791.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 809.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 827.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 845.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 863.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 881.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 899.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 917.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 935.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 953.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[paragraph, [54.0, 971.0, 786.0, 18.0], w4mwKVL2tc, 5773692]
[section-title, [48.0, 1005.0, 660.0, 30.0], UMM1z_ptN1, 5773692]
[section-title, [48.0, 1035.0, 660.0, 30.0], UMM1z_ptN1, 5773692]
[section-title, [48.0, 1065.0, 660.0, 30.0], UMM1z_ptN1, 5773692]
