[792, 612]
[folio, [57.0, 54.0, 98.0, 18.0], Sjx3J0pEFX, 6515039]
[headline, [55.0, 94.0, 332.0, 25.5], shoonya_2s1SH038JCIVUX, 6515039]
[headline, [55.0, 119.5, 332.0, 25.5], shoonya_2s1SH038JCIVUX, 6515039]
[headline, [55.0, 145.0, 332.0, 25.5], shoonya_2s1SH038JCIVUX, 6515039]
[headline, [55.0, 170.5, 332.0, 25.5], shoonya_2s1SH038JCIVUX, 6515039]
[paragraph, [393.0, 97.0, 161.0, 18.0], shoonya_1s6K6RCZHFI137, 6515039]
[paragraph, [393.0, 115.0, 161.0, 18.0], shoonya_1s6K6RCZHFI137, 6515039]
[paragraph, [393.0, 133.0, 161.0, 18.0], shoonya_1s6K6RCZHFI137, 6515039]
[paragraph, [393.0, 151.0, 161.0, 18.0], shoonya_1s6K6RCZHFI137, 6515039]
[paragraph, [393.0, 169.0, 161.0, 18.0], shoonya_1s6K6RCZHFI137, 6515039]
[paragraph, [393.0, 187.0, 161.0, 18.0], shoonya_1s6K6RCZHFI137, 6515039]
[paragraph, [393.0, 205.0, 161.0, 18.0], shoonya_1s6K6RCZHFI137, 6515039]
[paragraph, [225.0, 217.0, 160.0, 18.0], shoonya_3sQMBS7PNY0YAI, 6515039]
[paragraph, [225.0, 235.0, 160.0, 18.0], shoonya_3sQMBS7PNY0YAI, 6515039]
[paragraph, [225.0, 253.0, 160.0, 18.0], shoonya_3sQMBS7PNY0YAI, 6515039]
[paragraph, [225.0, 271.0, 160.0, 18.0], shoonya_3sQMBS7PNY0YAI, 6515039]
[paragraph, [391.0, 230.0, 165.0, 18.0], shoonya_0sWRZ5APE9VH8N, 6515039]
[paragraph, [391.0, 248.0, 165.0, 18.0], shoonya_0sWRZ5APE9VH8N, 6515039]
[paragraph, [391.0, 266.0, 165.0, 18.0], shoonya_0sWRZ5APE9VH8N, 6515039]
[paragraph, [391.0, 284.0, 165.0, 18.0], shoonya_0sWRZ5APE9VH8N, 6515039]
[paragraph, [391.0, 302.0, 165.0, 18.0], shoonya_0sWRZ5APE9VH8N, 6515039]
[paragraph, [391.0, 320.0, 165.0, 18.0], shoonya_0sWRZ5APE9VH8N, 6515039]
[paragraph, [57.0, 231.0, 162.0, 18.0], shoonya_8sJH64GUW5IYF2, 6515039]
[paragraph, [57.0, 249.0, 162.0, 18.0], shoonya_8sJH64GUW5IYF2, 6515039]
[paragraph, [57.0, 267.0, 162.0, 18.0], shoonya_8sJH64GUW5IYF2, 6515039]
[paragraph, [57.0, 285.0, 162.0, 18.0], shoonya_8sJH64GUW5IYF2, 6515039]
[paragraph, [57.0, 303.0, 162.0, 18.0], shoonya_8sJH64GUW5IYF2, 6515039]
[paragraph, [57.0, 321.0, 162.0, 18.0], shoonya_8sJH64GUW5IYF2, 6515039]
[paragraph, [57.0, 339.0, 162.0, 18.0], shoonya_8sJH64GUW5IYF2, 6515039]
[paragraph, [226.0, 290.0, 160.0, 18.0], shoonya_4sJU409RYIC7W4, 6515039]
[paragraph, [226.0, 308.0, 160.0, 18.0], shoonya_4sJU409RYIC7W4, 6515039]
[paragraph, [226.0, 326.0, 160.0, 18.0], shoonya_4sJU409RYIC7W4, 6515039]
[paragraph, [225.0, 351.0, 162.0, 18.0], shoonya_5sM0T4ITALZLL4, 6515039]
[paragraph, [225.0, 369.0, 162.0, 18.0], shoonya_5sM0T4ITALZLL4, 6515039]
[paragraph, [225.0, 387.0, 162.0, 18.0], shoonya_5sM0T4ITALZLL4, 6515039]
[paragraph, [57.0, 374.0, 162.0, 18.0], shoonya_6sALNUZJGOA930, 6515039]
[paragraph, [57.0, 392.0, 162.0, 18.0], shoonya_6sALNUZJGOA930, 6515039]
[paragraph, [57.0, 410.0, 162.0, 18.0], shoonya_6sALNUZJGOA930, 6515039]
[paragraph, [57.0, 428.0, 162.0, 18.0], shoonya_6sALNUZJGOA930, 6515039]
[paragraph, [57.0, 446.0, 162.0, 18.0], shoonya_6sALNUZJGOA930, 6515039]
[paragraph, [225.0, 422.0, 80.0, 18.0], shoonya_11sHRSMFIOV3H3, 6515039]
[paragraph, [56.0, 470.0, 162.0, 18.0], shoonya_7sUBPT7MS83VCZ, 6515039]
[paragraph, [56.0, 488.0, 162.0, 18.0], shoonya_7sUBPT7MS83VCZ, 6515039]
[paragraph, [56.0, 506.0, 162.0, 18.0], shoonya_7sUBPT7MS83VCZ, 6515039]
[paragraph, [56.0, 524.0, 162.0, 18.0], shoonya_7sUBPT7MS83VCZ, 6515039]
