[1806, 1262]
[folio, [157.0, 99.0, 513.0, 36.0], shoonya_5sXHAZDZMG7X6N, 5681319]
[paragraph, [652.0, 171.0, 512.0, 36.0], shoonya_1sNFA9ATEAW6LD, 5681319]
[paragraph, [652.0, 207.0, 512.0, 36.0], shoonya_1sNFA9ATEAW6LD, 5681319]
[paragraph, [652.0, 243.0, 512.0, 36.0], shoonya_1sNFA9ATEAW6LD, 5681319]
[paragraph, [652.0, 279.0, 512.0, 36.0], shoonya_1sNFA9ATEAW6LD, 5681319]
[paragraph, [99.0, 174.0, 500.0, 36.0], shoonya_3sLC19ED9PUD8K, 5681319]
[paragraph, [99.0, 210.0, 500.0, 36.0], shoonya_3sLC19ED9PUD8K, 5681319]
[paragraph, [99.0, 246.0, 500.0, 36.0], shoonya_3sLC19ED9PUD8K, 5681319]
[paragraph, [97.0, 290.0, 504.0, 36.0], fe9yzOS8jK, 5681319]
[paragraph, [97.0, 326.0, 504.0, 36.0], fe9yzOS8jK, 5681319]
[paragraph, [97.0, 362.0, 504.0, 36.0], fe9yzOS8jK, 5681319]
[paragraph, [97.0, 398.0, 504.0, 36.0], fe9yzOS8jK, 5681319]
[paragraph, [97.0, 434.0, 504.0, 36.0], fe9yzOS8jK, 5681319]
[paragraph, [97.0, 470.0, 504.0, 36.0], fe9yzOS8jK, 5681319]
[paragraph, [97.0, 506.0, 504.0, 36.0], fe9yzOS8jK, 5681319]
[paragraph, [97.0, 542.0, 504.0, 36.0], fe9yzOS8jK, 5681319]
[paragraph, [97.0, 578.0, 504.0, 36.0], fe9yzOS8jK, 5681319]
[paragraph, [97.0, 614.0, 504.0, 36.0], fe9yzOS8jK, 5681319]
[paragraph, [97.0, 650.0, 504.0, 36.0], fe9yzOS8jK, 5681319]
[paragraph, [97.0, 686.0, 504.0, 36.0], fe9yzOS8jK, 5681319]
[paragraph, [97.0, 722.0, 504.0, 36.0], fe9yzOS8jK, 5681319]
[ordered-list, [653.0, 326.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 362.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 398.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 434.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 470.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 506.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 542.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 578.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 614.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 650.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 686.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 722.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 758.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 794.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 830.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 866.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 902.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 938.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 974.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 1010.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 1046.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 1082.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 1118.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 1154.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 1190.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 1226.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 1262.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 1298.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 1334.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[ordered-list, [653.0, 1370.0, 514.0, 36.0], Ujym_bERm5, 5681319]
[unordered-list, [657.0, 400.0, 502.0, 36.0], 3TNgl-8zyB, 5681319]
[unordered-list, [657.0, 436.0, 502.0, 36.0], 3TNgl-8zyB, 5681319]
[unordered-list, [657.0, 472.0, 502.0, 36.0], 3TNgl-8zyB, 5681319]
[unordered-list, [657.0, 508.0, 502.0, 36.0], 3TNgl-8zyB, 5681319]
[unordered-list, [657.0, 544.0, 502.0, 36.0], 3TNgl-8zyB, 5681319]
[unordered-list, [657.0, 580.0, 502.0, 36.0], 3TNgl-8zyB, 5681319]
[unordered-list, [657.0, 616.0, 502.0, 36.0], 3TNgl-8zyB, 5681319]
[unordered-list, [657.0, 652.0, 502.0, 36.0], 3TNgl-8zyB, 5681319]
[unordered-list, [657.0, 688.0, 502.0, 36.0], 3TNgl-8zyB, 5681319]
