[1650, 1275]
[paragraph, [257.0, 136.0, 834.0, 36.0], shoonya_3s61GEUYGZR5DW, 6470613]
[paragraph, [257.0, 172.0, 834.0, 36.0], shoonya_3s61GEUYGZR5DW, 6470613]
[paragraph, [257.0, 208.0, 834.0, 36.0], shoonya_3s61GEUYGZR5DW, 6470613]
[paragraph, [257.0, 244.0, 834.0, 36.0], shoonya_3s61GEUYGZR5DW, 6470613]
[paragraph, [255.0, 407.0, 834.0, 36.0], shoonya_1sVEBKLNG5QBD0, 6470613]
[paragraph, [255.0, 443.0, 834.0, 36.0], shoonya_1sVEBKLNG5QBD0, 6470613]
[paragraph, [255.0, 479.0, 834.0, 36.0], shoonya_1sVEBKLNG5QBD0, 6470613]
[paragraph, [255.0, 515.0, 834.0, 36.0], shoonya_1sVEBKLNG5QBD0, 6470613]
[paragraph, [255.0, 551.0, 834.0, 36.0], shoonya_1sVEBKLNG5QBD0, 6470613]
[paragraph, [255.0, 587.0, 834.0, 36.0], shoonya_1sVEBKLNG5QBD0, 6470613]
[paragraph, [255.0, 623.0, 834.0, 36.0], shoonya_1sVEBKLNG5QBD0, 6470613]
[paragraph, [255.0, 659.0, 834.0, 36.0], shoonya_1sVEBKLNG5QBD0, 6470613]
[paragraph, [256.0, 734.0, 832.0, 36.0], shoonya_0sXK1L5PT077BO, 6470613]
[paragraph, [256.0, 770.0, 832.0, 36.0], shoonya_0sXK1L5PT077BO, 6470613]
[paragraph, [256.0, 806.0, 832.0, 36.0], shoonya_0sXK1L5PT077BO, 6470613]
[paragraph, [256.0, 842.0, 832.0, 36.0], shoonya_0sXK1L5PT077BO, 6470613]
[paragraph, [256.0, 878.0, 832.0, 36.0], shoonya_0sXK1L5PT077BO, 6470613]
[paragraph, [256.0, 914.0, 832.0, 36.0], shoonya_0sXK1L5PT077BO, 6470613]
[paragraph, [256.0, 950.0, 832.0, 36.0], shoonya_0sXK1L5PT077BO, 6470613]
[paragraph, [256.0, 986.0, 832.0, 36.0], shoonya_0sXK1L5PT077BO, 6470613]
[paragraph, [256.0, 1022.0, 832.0, 36.0], shoonya_0sXK1L5PT077BO, 6470613]
[paragraph, [256.0, 1058.0, 832.0, 36.0], shoonya_0sXK1L5PT077BO, 6470613]
[paragraph, [256.0, 1094.0, 832.0, 36.0], shoonya_0sXK1L5PT077BO, 6470613]
[paragraph, [258.0, 1275.0, 839.0, 36.0], shoonya_2sHE9UV8GQG3Z2, 6470613]
[paragraph, [258.0, 1311.0, 839.0, 36.0], shoonya_2sHE9UV8GQG3Z2, 6470613]
[paragraph, [258.0, 1347.0, 839.0, 36.0], shoonya_2sHE9UV8GQG3Z2, 6470613]
[paragraph, [258.0, 1383.0, 839.0, 36.0], shoonya_2sHE9UV8GQG3Z2, 6470613]
[paragraph, [258.0, 1419.0, 839.0, 36.0], shoonya_2sHE9UV8GQG3Z2, 6470613]
