[1050, 693]
[folio, [81.0, 77.0, 89.0, 18.0], shoonya_0sAFNF1BJW4Z5L, 5702273]
[folio, [81.0, 95.0, 89.0, 18.0], shoonya_0sAFNF1BJW4Z5L, 5702273]
[paragraph, [78.0, 124.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 142.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 160.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 178.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 196.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 214.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 232.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 250.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 268.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 286.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 304.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 322.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 340.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 358.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 376.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 394.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 412.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 430.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 448.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 466.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 484.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 502.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 520.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 538.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 556.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [78.0, 574.0, 536.0, 18.0], g3172T2_s3, 5702273]
[paragraph, [77.0, 598.0, 542.0, 18.0], WXD60XroBE, 5702273]
[paragraph, [77.0, 616.0, 542.0, 18.0], WXD60XroBE, 5702273]
[paragraph, [77.0, 634.0, 542.0, 18.0], WXD60XroBE, 5702273]
[paragraph, [77.0, 652.0, 542.0, 18.0], WXD60XroBE, 5702273]
[paragraph, [77.0, 670.0, 542.0, 18.0], WXD60XroBE, 5702273]
[paragraph, [78.0, 686.0, 539.0, 18.0], Kwsj1XMVdl, 5702273]
[paragraph, [78.0, 704.0, 539.0, 18.0], Kwsj1XMVdl, 5702273]
[paragraph, [78.0, 722.0, 539.0, 18.0], Kwsj1XMVdl, 5702273]
[paragraph, [78.0, 740.0, 539.0, 18.0], Kwsj1XMVdl, 5702273]
[paragraph, [78.0, 758.0, 539.0, 18.0], Kwsj1XMVdl, 5702273]
[paragraph, [78.0, 776.0, 539.0, 18.0], Kwsj1XMVdl, 5702273]
[paragraph, [78.0, 794.0, 539.0, 18.0], Kwsj1XMVdl, 5702273]
[paragraph, [78.0, 812.0, 539.0, 18.0], Kwsj1XMVdl, 5702273]
[paragraph, [78.0, 830.0, 539.0, 18.0], Kwsj1XMVdl, 5702273]
[paragraph, [78.0, 848.0, 539.0, 18.0], Kwsj1XMVdl, 5702273]
[paragraph, [80.0, 874.0, 538.0, 18.0], r2VvSqzpnG, 5702273]
[paragraph, [80.0, 892.0, 538.0, 18.0], r2VvSqzpnG, 5702273]
[paragraph, [80.0, 910.0, 538.0, 18.0], r2VvSqzpnG, 5702273]
[paragraph, [80.0, 928.0, 538.0, 18.0], r2VvSqzpnG, 5702273]
[paragraph, [80.0, 946.0, 538.0, 18.0], r2VvSqzpnG, 5702273]
