[1755, 1240]
[paragraph, [200.0, 139.0, 898.0, 36.0], shoonya_1sFMH33RAY4EXD, 5693035]
[paragraph, [200.0, 175.0, 898.0, 36.0], shoonya_1sFMH33RAY4EXD, 5693035]
[paragraph, [200.0, 211.0, 898.0, 36.0], shoonya_1sFMH33RAY4EXD, 5693035]
[paragraph, [200.0, 247.0, 898.0, 36.0], shoonya_1sFMH33RAY4EXD, 5693035]
[paragraph, [200.0, 283.0, 898.0, 36.0], shoonya_1sFMH33RAY4EXD, 5693035]
[paragraph, [200.0, 319.0, 898.0, 36.0], shoonya_1sFMH33RAY4EXD, 5693035]
[paragraph, [200.0, 355.0, 898.0, 36.0], shoonya_1sFMH33RAY4EXD, 5693035]
[paragraph, [200.0, 391.0, 898.0, 36.0], shoonya_1sFMH33RAY4EXD, 5693035]
[paragraph, [200.0, 427.0, 898.0, 36.0], shoonya_1sFMH33RAY4EXD, 5693035]
[paragraph, [200.0, 463.0, 898.0, 36.0], shoonya_1sFMH33RAY4EXD, 5693035]
[paragraph, [217.0, 554.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [217.0, 590.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [217.0, 626.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [217.0, 662.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [217.0, 698.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [217.0, 734.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [217.0, 770.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [217.0, 806.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [217.0, 842.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [217.0, 878.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [217.0, 914.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [217.0, 950.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [217.0, 986.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [217.0, 1022.0, 929.0, 36.0], shoonya_0s1DFMB97PL2LF, 5693035]
[paragraph, [216.0, 1122.0, 892.0, 36.0], shoonya_2sB2V46O6WDV63, 5693035]
[paragraph, [216.0, 1158.0, 892.0, 36.0], shoonya_2sB2V46O6WDV63, 5693035]
[paragraph, [216.0, 1194.0, 892.0, 36.0], shoonya_2sB2V46O6WDV63, 5693035]
[paragraph, [216.0, 1230.0, 892.0, 36.0], shoonya_2sB2V46O6WDV63, 5693035]
[paragraph, [216.0, 1266.0, 892.0, 36.0], shoonya_2sB2V46O6WDV63, 5693035]
[paragraph, [216.0, 1302.0, 892.0, 36.0], shoonya_2sB2V46O6WDV63, 5693035]
[paragraph, [216.0, 1338.0, 892.0, 36.0], shoonya_2sB2V46O6WDV63, 5693035]
[paragraph, [216.0, 1374.0, 892.0, 36.0], shoonya_2sB2V46O6WDV63, 5693035]
[paragraph, [216.0, 1410.0, 892.0, 36.0], shoonya_2sB2V46O6WDV63, 5693035]
[paragraph, [216.0, 1446.0, 892.0, 36.0], shoonya_2sB2V46O6WDV63, 5693035]
