[1359, 917]
[paragraph, [69.0, 147.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 165.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 183.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 201.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 219.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 237.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 255.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 273.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 291.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 309.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 327.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 345.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 363.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 381.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 399.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 417.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [69.0, 435.0, 744.0, 18.0], shoonya_2sABGBV2KG53UY, 5660511]
[paragraph, [71.0, 470.0, 740.0, 18.0], shoonya_1sYGOPM75L5QZT, 5660511]
[paragraph, [71.0, 488.0, 740.0, 18.0], shoonya_1sYGOPM75L5QZT, 5660511]
[paragraph, [71.0, 506.0, 740.0, 18.0], shoonya_1sYGOPM75L5QZT, 5660511]
[paragraph, [71.0, 524.0, 740.0, 18.0], shoonya_1sYGOPM75L5QZT, 5660511]
[paragraph, [71.0, 542.0, 740.0, 18.0], shoonya_1sYGOPM75L5QZT, 5660511]
[paragraph, [71.0, 560.0, 740.0, 18.0], shoonya_1sYGOPM75L5QZT, 5660511]
[paragraph, [71.0, 578.0, 740.0, 18.0], shoonya_1sYGOPM75L5QZT, 5660511]
[paragraph, [71.0, 596.0, 740.0, 18.0], shoonya_1sYGOPM75L5QZT, 5660511]
[paragraph, [71.0, 614.0, 740.0, 18.0], shoonya_1sYGOPM75L5QZT, 5660511]
[paragraph, [71.0, 632.0, 740.0, 18.0], shoonya_1sYGOPM75L5QZT, 5660511]
[paragraph, [71.0, 650.0, 740.0, 18.0], shoonya_1sYGOPM75L5QZT, 5660511]
[paragraph, [71.0, 668.0, 740.0, 18.0], shoonya_1sYGOPM75L5QZT, 5660511]
[paragraph, [71.0, 686.0, 740.0, 18.0], shoonya_1sYGOPM75L5QZT, 5660511]
[paragraph, [72.0, 727.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 745.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 763.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 781.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 799.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 817.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 835.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 853.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 871.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 889.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 907.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 925.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 943.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 961.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 979.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 997.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[paragraph, [72.0, 1015.0, 739.0, 18.0], shoonya_0sI0OO906V6AQW, 5660511]
[section-title, [246.0, 1060.0, 406.0, 30.0], utoJSpV7S8, 5660511]
[paragraph, [72.0, 1100.0, 743.0, 18.0], 2JXnuuCams, 5660511]
[paragraph, [72.0, 1118.0, 743.0, 18.0], 2JXnuuCams, 5660511]
[paragraph, [72.0, 1136.0, 743.0, 18.0], 2JXnuuCams, 5660511]
[paragraph, [72.0, 1154.0, 743.0, 18.0], 2JXnuuCams, 5660511]
[paragraph, [72.0, 1172.0, 743.0, 18.0], 2JXnuuCams, 5660511]
[paragraph, [72.0, 1190.0, 743.0, 18.0], 2JXnuuCams, 5660511]
[paragraph, [72.0, 1208.0, 743.0, 18.0], 2JXnuuCams, 5660511]
