[1754, 1241]
[ordered-list, [110.0, 187.0, 512.0, 36.0], 6jsX3vCv-E, 5708919]
[ordered-list, [110.0, 223.0, 512.0, 36.0], 6jsX3vCv-E, 5708919]
[ordered-list, [110.0, 259.0, 512.0, 36.0], 6jsX3vCv-E, 5708919]
[ordered-list, [103.0, 382.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 418.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 454.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 490.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 526.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 562.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 598.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 634.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 670.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 706.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 742.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 778.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 814.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 850.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 886.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 922.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 958.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 994.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 1030.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 1066.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 1102.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [103.0, 1138.0, 655.0, 36.0], E2iBbUVUFT, 5708919]
[ordered-list, [105.0, 1247.0, 669.0, 36.0], OrdYk4degO, 5708919]
[ordered-list, [105.0, 1283.0, 669.0, 36.0], OrdYk4degO, 5708919]
[ordered-list, [105.0, 1319.0, 669.0, 36.0], OrdYk4degO, 5708919]
[ordered-list, [105.0, 1355.0, 669.0, 36.0], OrdYk4degO, 5708919]
[ordered-list, [102.0, 1462.0, 708.0, 36.0], ot9__dNpFI, 5708919]
[ordered-list, [102.0, 1498.0, 708.0, 36.0], ot9__dNpFI, 5708919]
[ordered-list, [102.0, 1534.0, 708.0, 36.0], ot9__dNpFI, 5708919]
[ordered-list, [102.0, 1570.0, 708.0, 36.0], ot9__dNpFI, 5708919]
[sub-ordered-list, [185.0, 1462.0, 629.0, 36.0], 5RkZKI6fK3, 5708919]
[sub-ordered-list, [185.0, 1498.0, 629.0, 36.0], 5RkZKI6fK3, 5708919]
[sub-ordered-list, [185.0, 1534.0, 629.0, 36.0], 5RkZKI6fK3, 5708919]
[sub-ordered-list, [185.0, 1570.0, 629.0, 36.0], 5RkZKI6fK3, 5708919]
