[579, 396]
[section-title, [94.0, 47.0, 96.0, 30.0], LDYOUYNEAJ, 6496468]
[paragraph, [70.0, 95.0, 228.0, 18.0], eMmTK1Ui4U, 6496468]
[paragraph, [70.0, 113.0, 228.0, 18.0], eMmTK1Ui4U, 6496468]
[paragraph, [70.0, 131.0, 228.0, 18.0], eMmTK1Ui4U, 6496468]
[paragraph, [70.0, 149.0, 228.0, 18.0], eMmTK1Ui4U, 6496468]
[paragraph, [70.0, 167.0, 228.0, 18.0], eMmTK1Ui4U, 6496468]
[paragraph, [50.0, 195.0, 259.0, 18.0], 3QBLKbDSY9, 6496468]
[paragraph, [50.0, 213.0, 259.0, 18.0], 3QBLKbDSY9, 6496468]
[paragraph, [50.0, 231.0, 259.0, 18.0], 3QBLKbDSY9, 6496468]
[paragraph, [50.0, 249.0, 259.0, 18.0], 3QBLKbDSY9, 6496468]
[paragraph, [50.0, 267.0, 259.0, 18.0], 3QBLKbDSY9, 6496468]
[paragraph, [55.0, 305.0, 240.0, 18.0], AgOiRZhWuF, 6496468]
[paragraph, [55.0, 323.0, 240.0, 18.0], AgOiRZhWuF, 6496468]
[paragraph, [55.0, 341.0, 240.0, 18.0], AgOiRZhWuF, 6496468]
[paragraph, [55.0, 359.0, 240.0, 18.0], AgOiRZhWuF, 6496468]
