[2200, 1700]
[paragraph, [396.0, 224.0, 899.0, 36.0], shoonya_1s6UDPR9UXBANK, 5686242]
[paragraph, [396.0, 260.0, 899.0, 36.0], shoonya_1s6UDPR9UXBANK, 5686242]
[paragraph, [396.0, 296.0, 899.0, 36.0], shoonya_1s6UDPR9UXBANK, 5686242]
[paragraph, [396.0, 332.0, 899.0, 36.0], shoonya_1s6UDPR9UXBANK, 5686242]
[paragraph, [396.0, 368.0, 899.0, 36.0], shoonya_1s6UDPR9UXBANK, 5686242]
[paragraph, [396.0, 404.0, 899.0, 36.0], shoonya_1s6UDPR9UXBANK, 5686242]
[paragraph, [396.0, 440.0, 899.0, 36.0], shoonya_1s6UDPR9UXBANK, 5686242]
[paragraph, [396.0, 476.0, 899.0, 36.0], shoonya_1s6UDPR9UXBANK, 5686242]
[paragraph, [396.0, 512.0, 899.0, 36.0], shoonya_1s6UDPR9UXBANK, 5686242]
[paragraph, [396.0, 548.0, 899.0, 36.0], shoonya_1s6UDPR9UXBANK, 5686242]
[paragraph, [396.0, 584.0, 899.0, 36.0], shoonya_1s6UDPR9UXBANK, 5686242]
[paragraph, [399.0, 644.0, 705.0, 36.0], ZZIthQ5r2W, 5686242]
[reference, [1115.0, 648.0, 165.0, 36.0], GuPH1pjtnP, 5686242]
[paragraph, [279.0, 742.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 778.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 814.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 850.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 886.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 922.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 958.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 994.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 1030.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 1066.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 1102.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 1138.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 1174.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 1210.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 1246.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 1282.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 1318.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 1354.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 1390.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 1426.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [279.0, 1462.0, 1144.0, 36.0], shoonya_2sO5PYTSU1WUVO, 5686242]
[paragraph, [274.0, 1555.0, 1145.0, 36.0], imrPUKLc03, 5686242]
[paragraph, [274.0, 1591.0, 1145.0, 36.0], imrPUKLc03, 5686242]
[paragraph, [274.0, 1627.0, 1145.0, 36.0], imrPUKLc03, 5686242]
[paragraph, [274.0, 1663.0, 1145.0, 36.0], imrPUKLc03, 5686242]
[paragraph, [274.0, 1699.0, 1145.0, 36.0], imrPUKLc03, 5686242]
[paragraph, [274.0, 1735.0, 1145.0, 36.0], imrPUKLc03, 5686242]
[paragraph, [274.0, 1771.0, 1145.0, 36.0], imrPUKLc03, 5686242]
[paragraph, [274.0, 1807.0, 1145.0, 36.0], imrPUKLc03, 5686242]
[paragraph, [274.0, 1843.0, 1145.0, 36.0], imrPUKLc03, 5686242]
