[1518, 1075]
[headline, [112.0, 268.0, 636.0, 37.5], shoonya_3s1BNMU226RV9J, 5722101]
[headline, [112.0, 305.5, 636.0, 37.5], shoonya_3s1BNMU226RV9J, 5722101]
[sub-headline, [84.0, 357.0, 661.0, 36.0], ZR6whcpL7X, 5722101]
[paragraph, [159.0, 436.0, 736.0, 36.0], shoonya_7sQCZZSBNWMICA, 5722101]
[paragraph, [159.0, 472.0, 736.0, 36.0], shoonya_7sQCZZSBNWMICA, 5722101]
[paragraph, [159.0, 508.0, 736.0, 36.0], shoonya_7sQCZZSBNWMICA, 5722101]
[paragraph, [159.0, 544.0, 736.0, 36.0], shoonya_7sQCZZSBNWMICA, 5722101]
[paragraph, [159.0, 580.0, 736.0, 36.0], shoonya_7sQCZZSBNWMICA, 5722101]
[paragraph, [159.0, 616.0, 736.0, 36.0], shoonya_7sQCZZSBNWMICA, 5722101]
[paragraph, [534.0, 689.0, 434.0, 36.0], shoonya_2s3Q87XIM64DTC, 5722101]
[paragraph, [534.0, 725.0, 434.0, 36.0], shoonya_2s3Q87XIM64DTC, 5722101]
[paragraph, [534.0, 761.0, 434.0, 36.0], shoonya_2s3Q87XIM64DTC, 5722101]
[paragraph, [534.0, 797.0, 434.0, 36.0], shoonya_2s3Q87XIM64DTC, 5722101]
[paragraph, [534.0, 833.0, 434.0, 36.0], shoonya_2s3Q87XIM64DTC, 5722101]
[paragraph, [534.0, 869.0, 434.0, 36.0], shoonya_2s3Q87XIM64DTC, 5722101]
[paragraph, [534.0, 905.0, 434.0, 36.0], shoonya_2s3Q87XIM64DTC, 5722101]
[paragraph, [534.0, 941.0, 434.0, 36.0], shoonya_2s3Q87XIM64DTC, 5722101]
[paragraph, [534.0, 977.0, 434.0, 36.0], shoonya_2s3Q87XIM64DTC, 5722101]
[paragraph, [534.0, 1013.0, 434.0, 36.0], shoonya_2s3Q87XIM64DTC, 5722101]
[paragraph, [90.0, 693.0, 428.0, 36.0], shoonya_0sFEM3GP2NRRXA, 5722101]
[paragraph, [90.0, 729.0, 428.0, 36.0], shoonya_0sFEM3GP2NRRXA, 5722101]
[paragraph, [90.0, 765.0, 428.0, 36.0], shoonya_0sFEM3GP2NRRXA, 5722101]
[paragraph, [90.0, 801.0, 428.0, 36.0], shoonya_0sFEM3GP2NRRXA, 5722101]
[paragraph, [90.0, 837.0, 428.0, 36.0], shoonya_0sFEM3GP2NRRXA, 5722101]
[paragraph, [90.0, 873.0, 428.0, 36.0], shoonya_0sFEM3GP2NRRXA, 5722101]
[paragraph, [90.0, 909.0, 428.0, 36.0], shoonya_0sFEM3GP2NRRXA, 5722101]
[paragraph, [90.0, 945.0, 428.0, 36.0], shoonya_0sFEM3GP2NRRXA, 5722101]
[paragraph, [90.0, 981.0, 428.0, 36.0], shoonya_0sFEM3GP2NRRXA, 5722101]
[paragraph, [90.0, 1017.0, 428.0, 36.0], shoonya_0sFEM3GP2NRRXA, 5722101]
[paragraph, [90.0, 1053.0, 428.0, 36.0], shoonya_0sFEM3GP2NRRXA, 5722101]
[paragraph, [90.0, 1089.0, 428.0, 36.0], shoonya_0sFEM3GP2NRRXA, 5722101]
[paragraph, [90.0, 1125.0, 428.0, 36.0], shoonya_0sFEM3GP2NRRXA, 5722101]
[paragraph, [535.0, 1072.0, 427.0, 36.0], shoonya_1sCM2UGGU7R2GV, 5722101]
[paragraph, [535.0, 1108.0, 427.0, 36.0], shoonya_1sCM2UGGU7R2GV, 5722101]
[paragraph, [535.0, 1144.0, 427.0, 36.0], shoonya_1sCM2UGGU7R2GV, 5722101]
[paragraph, [535.0, 1180.0, 427.0, 36.0], shoonya_1sCM2UGGU7R2GV, 5722101]
[paragraph, [535.0, 1216.0, 427.0, 36.0], shoonya_1sCM2UGGU7R2GV, 5722101]
[paragraph, [535.0, 1252.0, 427.0, 36.0], shoonya_1sCM2UGGU7R2GV, 5722101]
[paragraph, [535.0, 1288.0, 427.0, 36.0], shoonya_1sCM2UGGU7R2GV, 5722101]
[paragraph, [91.0, 1177.0, 428.0, 36.0], shoonya_4sYY0CD2HLNJJO, 5722101]
[paragraph, [91.0, 1213.0, 428.0, 36.0], shoonya_4sYY0CD2HLNJJO, 5722101]
[paragraph, [91.0, 1249.0, 428.0, 36.0], shoonya_4sYY0CD2HLNJJO, 5722101]
[paragraph, [91.0, 1285.0, 428.0, 36.0], shoonya_4sYY0CD2HLNJJO, 5722101]
[folio, [658.0, 1393.0, 216.0, 36.0], DwW4bZ50Pf, 5722101]
