[1654, 1241]
[section-title, [112.0, 87.0, 1021.0, 49.5], shoonya_5sYYYEIL25MSPE, 6468514]
[sub-section-title, [110.0, 595.0, 729.0, 36.0], p7pf6XP82e, 6468514]
[paragraph, [111.0, 658.0, 497.0, 36.0], ROJEp-KGDC, 6468514]
[paragraph, [111.0, 694.0, 497.0, 36.0], ROJEp-KGDC, 6468514]
[paragraph, [111.0, 730.0, 497.0, 36.0], ROJEp-KGDC, 6468514]
[paragraph, [111.0, 766.0, 497.0, 36.0], ROJEp-KGDC, 6468514]
[paragraph, [111.0, 802.0, 497.0, 36.0], ROJEp-KGDC, 6468514]
[paragraph, [111.0, 838.0, 497.0, 36.0], ROJEp-KGDC, 6468514]
[paragraph, [111.0, 874.0, 497.0, 36.0], ROJEp-KGDC, 6468514]
[paragraph, [111.0, 910.0, 497.0, 36.0], ROJEp-KGDC, 6468514]
[paragraph, [111.0, 946.0, 497.0, 36.0], ROJEp-KGDC, 6468514]
[paragraph, [111.0, 982.0, 497.0, 36.0], ROJEp-KGDC, 6468514]
[paragraph, [111.0, 1018.0, 497.0, 36.0], ROJEp-KGDC, 6468514]
[paragraph, [111.0, 1054.0, 497.0, 36.0], ROJEp-KGDC, 6468514]
[sub-section-title, [114.0, 1114.0, 780.0, 36.0], G4QS4fcO5P, 6468514]
