[1951, 1219]
[folio, [204.0, 120.0, 220.0, 36.0], tgL9q44cFn, 5682511]
[paragraph, [115.0, 221.0, 987.0, 36.0], gwpZjC5j7c, 5682511]
[paragraph, [115.0, 257.0, 987.0, 36.0], gwpZjC5j7c, 5682511]
[paragraph, [115.0, 293.0, 987.0, 36.0], gwpZjC5j7c, 5682511]
[paragraph, [115.0, 329.0, 987.0, 36.0], gwpZjC5j7c, 5682511]
[paragraph, [115.0, 402.0, 985.0, 36.0], HWd-RipXMy, 5682511]
[paragraph, [115.0, 438.0, 985.0, 36.0], HWd-RipXMy, 5682511]
[paragraph, [115.0, 474.0, 985.0, 36.0], HWd-RipXMy, 5682511]
[paragraph, [115.0, 510.0, 985.0, 36.0], HWd-RipXMy, 5682511]
[paragraph, [115.0, 546.0, 985.0, 36.0], HWd-RipXMy, 5682511]
[paragraph, [115.0, 582.0, 985.0, 36.0], HWd-RipXMy, 5682511]
[paragraph, [112.0, 624.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 660.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 696.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 732.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 768.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 804.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 840.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 876.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 912.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 948.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 984.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 1020.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 1056.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 1092.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [112.0, 1128.0, 988.0, 36.0], gQeDqNjxX1, 5682511]
[paragraph, [111.0, 1205.0, 990.0, 36.0], GyD1h3YdH7, 5682511]
[paragraph, [111.0, 1241.0, 990.0, 36.0], GyD1h3YdH7, 5682511]
[paragraph, [111.0, 1277.0, 990.0, 36.0], GyD1h3YdH7, 5682511]
[paragraph, [111.0, 1313.0, 990.0, 36.0], GyD1h3YdH7, 5682511]
[paragraph, [111.0, 1349.0, 990.0, 36.0], GyD1h3YdH7, 5682511]
[paragraph, [111.0, 1385.0, 990.0, 36.0], GyD1h3YdH7, 5682511]
[paragraph, [109.0, 1435.0, 990.0, 36.0], cg2wE4lcdO, 5682511]
[paragraph, [109.0, 1471.0, 990.0, 36.0], cg2wE4lcdO, 5682511]
[paragraph, [109.0, 1507.0, 990.0, 36.0], cg2wE4lcdO, 5682511]
[paragraph, [109.0, 1543.0, 990.0, 36.0], cg2wE4lcdO, 5682511]
[paragraph, [109.0, 1579.0, 990.0, 36.0], cg2wE4lcdO, 5682511]
[paragraph, [109.0, 1615.0, 990.0, 36.0], cg2wE4lcdO, 5682511]
[paragraph, [109.0, 1651.0, 990.0, 36.0], cg2wE4lcdO, 5682511]
[paragraph, [109.0, 1687.0, 990.0, 36.0], cg2wE4lcdO, 5682511]
[paragraph, [109.0, 1723.0, 990.0, 36.0], cg2wE4lcdO, 5682511]
[paragraph, [109.0, 1759.0, 990.0, 36.0], cg2wE4lcdO, 5682511]
[paragraph, [109.0, 1795.0, 990.0, 36.0], cg2wE4lcdO, 5682511]
