[1987, 1270]
[paragraph, [125.0, 191.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 227.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 263.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 299.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 335.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 371.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 407.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 443.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 479.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 515.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 551.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 587.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 623.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 659.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 695.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 731.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 767.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 803.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 839.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 875.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [125.0, 911.0, 1016.0, 36.0], shoonya_0s60N76EHMAY1B, 5683015]
[paragraph, [128.0, 981.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1017.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1053.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1089.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1125.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1161.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1197.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1233.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1269.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1305.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1341.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1377.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1413.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1449.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1485.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1521.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [128.0, 1557.0, 1009.0, 36.0], shoonya_1sU6JGXAW13XK0, 5683015]
[paragraph, [126.0, 1606.0, 1014.0, 36.0], acwe2Dc6HX, 5683015]
[paragraph, [126.0, 1642.0, 1014.0, 36.0], acwe2Dc6HX, 5683015]
[paragraph, [126.0, 1678.0, 1014.0, 36.0], acwe2Dc6HX, 5683015]
[paragraph, [126.0, 1714.0, 1014.0, 36.0], acwe2Dc6HX, 5683015]
[paragraph, [126.0, 1750.0, 1014.0, 36.0], acwe2Dc6HX, 5683015]
[paragraph, [126.0, 1786.0, 1014.0, 36.0], acwe2Dc6HX, 5683015]
[paragraph, [126.0, 1822.0, 1014.0, 36.0], acwe2Dc6HX, 5683015]
