[2339, 1653]
[paragraph, [389.0, 198.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 234.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 270.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 306.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 342.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 378.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 414.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 450.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 486.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 522.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 558.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 594.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 630.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 666.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 702.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 738.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [389.0, 774.0, 1070.0, 36.0], shoonya_0sCOOMYHMGG2I7, 5734283]
[paragraph, [390.0, 838.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 874.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 910.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 946.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 982.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 1018.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 1054.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 1090.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 1126.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 1162.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 1198.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 1234.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 1270.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 1306.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 1342.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 1378.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 1414.0, 1072.0, 36.0], shoonya_2sB3G3ENXT4D0Z, 5734283]
[paragraph, [390.0, 1484.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1520.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1556.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1592.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1628.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1664.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1700.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1736.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1772.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1808.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1844.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1880.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1916.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1952.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 1988.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 2024.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[paragraph, [390.0, 2060.0, 1068.0, 36.0], shoonya_1sWKAXMFPP088B, 5734283]
[folio, [1049.0, 2182.0, 341.0, 36.0], shoonya_5s1SKFUPQZVVT7, 5734283]
