[1650, 1275]
[headline, [220.0, 134.0, 824.0, 37.5], shoonya_2sA15UUPCE9557, 5744709]
[paragraph, [58.0, 212.0, 761.0, 36.0], shoonya_4sQIIF14B9B2SK, 5744709]
[paragraph, [58.0, 248.0, 761.0, 36.0], shoonya_4sQIIF14B9B2SK, 5744709]
[paragraph, [58.0, 284.0, 761.0, 36.0], shoonya_4sQIIF14B9B2SK, 5744709]
[paragraph, [58.0, 320.0, 761.0, 36.0], shoonya_4sQIIF14B9B2SK, 5744709]
[paragraph, [58.0, 356.0, 761.0, 36.0], shoonya_4sQIIF14B9B2SK, 5744709]
[paragraph, [58.0, 392.0, 761.0, 36.0], shoonya_4sQIIF14B9B2SK, 5744709]
[paragraph, [58.0, 428.0, 761.0, 36.0], shoonya_4sQIIF14B9B2SK, 5744709]
[paragraph, [58.0, 464.0, 761.0, 36.0], shoonya_4sQIIF14B9B2SK, 5744709]
[paragraph, [58.0, 500.0, 761.0, 36.0], shoonya_4sQIIF14B9B2SK, 5744709]
[paragraph, [63.0, 551.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [63.0, 587.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [63.0, 623.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [63.0, 659.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [63.0, 695.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [63.0, 731.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [63.0, 767.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [63.0, 803.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [63.0, 839.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [63.0, 875.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [63.0, 911.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [63.0, 947.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [63.0, 983.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [63.0, 1019.0, 1139.0, 36.0], a2-2lFiBsY, 5744709]
[paragraph, [347.0, 1056.0, 806.0, 36.0], nFVRupHGjZ, 5744709]
[paragraph, [347.0, 1092.0, 806.0, 36.0], nFVRupHGjZ, 5744709]
[paragraph, [347.0, 1128.0, 806.0, 36.0], nFVRupHGjZ, 5744709]
[paragraph, [347.0, 1164.0, 806.0, 36.0], nFVRupHGjZ, 5744709]
[paragraph, [347.0, 1200.0, 806.0, 36.0], nFVRupHGjZ, 5744709]
[paragraph, [347.0, 1236.0, 806.0, 36.0], nFVRupHGjZ, 5744709]
[paragraph, [347.0, 1272.0, 806.0, 36.0], nFVRupHGjZ, 5744709]
[paragraph, [347.0, 1308.0, 806.0, 36.0], nFVRupHGjZ, 5744709]
[paragraph, [347.0, 1344.0, 806.0, 36.0], nFVRupHGjZ, 5744709]
[paragraph, [62.0, 1396.0, 1114.0, 36.0], X0ZUueIOhA, 5744709]
[paragraph, [62.0, 1432.0, 1114.0, 36.0], X0ZUueIOhA, 5744709]
[paragraph, [62.0, 1468.0, 1114.0, 36.0], X0ZUueIOhA, 5744709]
