[590, 396]
[paragraph, [68.0, 76.0, 295.0, 18.0], shoonya_1s7C4QIXS8NFBP, 6513088]
[paragraph, [68.0, 94.0, 295.0, 18.0], shoonya_1s7C4QIXS8NFBP, 6513088]
[paragraph, [68.0, 112.0, 295.0, 18.0], shoonya_1s7C4QIXS8NFBP, 6513088]
[paragraph, [67.0, 135.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 153.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 171.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 189.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 207.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 225.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 243.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 261.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 279.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 297.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 315.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 333.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 351.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 369.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 387.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 405.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 423.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 441.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
[paragraph, [67.0, 459.0, 297.0, 18.0], shoonya_0sLQ5PY87ZRET5, 6513088]
