[975, 573]
[author, [236.0, 6.0, 313.0, 18.0], shoonya_0s5ZTEJ4HOEUXD, 5776430]
[author, [236.0, 24.0, 313.0, 18.0], shoonya_0s5ZTEJ4HOEUXD, 5776430]
[reference, [243.0, 53.0, 265.0, 18.0], yIJQOK8lLe, 5776430]
[reference, [243.0, 71.0, 265.0, 18.0], yIJQOK8lLe, 5776430]
[reference, [243.0, 89.0, 265.0, 18.0], yIJQOK8lLe, 5776430]
[chapter-title, [150.0, 146.0, 270.0, 30.0], _kIEpnKnn7, 5776430]
[paragraph, [15.0, 205.0, 533.0, 18.0], klMwk9KRWq, 5776430]
[paragraph, [15.0, 223.0, 533.0, 18.0], klMwk9KRWq, 5776430]
[paragraph, [15.0, 241.0, 533.0, 18.0], klMwk9KRWq, 5776430]
[paragraph, [15.0, 259.0, 533.0, 18.0], klMwk9KRWq, 5776430]
[paragraph, [15.0, 277.0, 533.0, 18.0], klMwk9KRWq, 5776430]
[paragraph, [15.0, 295.0, 533.0, 18.0], klMwk9KRWq, 5776430]
[paragraph, [15.0, 313.0, 533.0, 18.0], klMwk9KRWq, 5776430]
[paragraph, [15.0, 331.0, 533.0, 18.0], klMwk9KRWq, 5776430]
[paragraph, [15.0, 349.0, 533.0, 18.0], klMwk9KRWq, 5776430]
[paragraph, [15.0, 367.0, 533.0, 18.0], klMwk9KRWq, 5776430]
[paragraph, [13.0, 389.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 407.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 425.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 443.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 461.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 479.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 497.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 515.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 533.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 551.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 569.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 587.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 605.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 623.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 641.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 659.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 677.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 695.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 713.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 731.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 749.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 767.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 785.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [13.0, 803.0, 537.0, 18.0], hijnfGzK10, 5776430]
[paragraph, [10.0, 839.0, 541.0, 18.0], 4NqBfCQWXt, 5776430]
[paragraph, [10.0, 857.0, 541.0, 18.0], 4NqBfCQWXt, 5776430]
[paragraph, [10.0, 875.0, 541.0, 18.0], 4NqBfCQWXt, 5776430]
[paragraph, [10.0, 893.0, 541.0, 18.0], 4NqBfCQWXt, 5776430]
[paragraph, [10.0, 911.0, 541.0, 18.0], 4NqBfCQWXt, 5776430]
