[690, 512]
[folio, [194.0, 37.0, 96.0, 18.0], h48_3LspmS, 6491946]
[ordered-list, [248.0, 64.0, 225.0, 18.0], ptDaaHguI9, 6491946]
[ordered-list, [248.0, 82.0, 225.0, 18.0], ptDaaHguI9, 6491946]
[ordered-list, [248.0, 100.0, 225.0, 18.0], ptDaaHguI9, 6491946]
[paragraph, [25.0, 67.0, 210.0, 18.0], sni3l7aq48, 6491946]
[paragraph, [25.0, 85.0, 210.0, 18.0], sni3l7aq48, 6491946]
[ordered-list, [22.0, 110.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 128.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 146.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 164.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 182.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 200.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 218.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 236.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 254.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 272.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 290.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 308.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 326.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 344.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 362.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 380.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 398.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 416.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 434.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 452.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 470.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 488.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[ordered-list, [22.0, 506.0, 214.0, 18.0], 79G3JgJW1z, 6491946]
[reference, [246.0, 140.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 158.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 176.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 194.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 212.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 230.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 248.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 266.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 284.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 302.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 320.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 338.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 356.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 374.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 392.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 410.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 428.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 446.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 464.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 482.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 500.0, 233.0, 18.0], YzvzOUxS97, 6491946]
[reference, [246.0, 518.0, 233.0, 18.0], YzvzOUxS97, 6491946]
