[1606, 1056]
[folio, [435.0, 98.0, 188.0, 36.0], 9Qt0nAWM1X, 5684274]
[folio, [101.0, 100.0, 234.0, 36.0], jBlL2bpNp8, 5684274]
[paragraph, [257.0, 159.0, 409.0, 36.0], shoonya_0s3FA2T3UC5XMX, 5684274]
[paragraph, [257.0, 195.0, 409.0, 36.0], shoonya_0s3FA2T3UC5XMX, 5684274]
[paragraph, [255.0, 249.0, 417.0, 36.0], W4q1EEB306, 5684274]
[paragraph, [255.0, 285.0, 417.0, 36.0], W4q1EEB306, 5684274]
[paragraph, [258.0, 341.0, 392.0, 36.0], JFZIxXpa2j, 5684274]
[paragraph, [258.0, 377.0, 392.0, 36.0], JFZIxXpa2j, 5684274]
[paragraph, [258.0, 427.0, 398.0, 36.0], qxKVFwVVK3, 5684274]
[paragraph, [258.0, 463.0, 398.0, 36.0], qxKVFwVVK3, 5684274]
[paragraph, [258.0, 520.0, 377.0, 36.0], 5Hb8juC1qy, 5684274]
[paragraph, [258.0, 556.0, 377.0, 36.0], 5Hb8juC1qy, 5684274]
[paragraph, [257.0, 607.0, 394.0, 36.0], fesRHduQJh, 5684274]
[paragraph, [257.0, 643.0, 394.0, 36.0], fesRHduQJh, 5684274]
[paragraph, [257.0, 679.0, 394.0, 36.0], fesRHduQJh, 5684274]
[paragraph, [253.0, 752.0, 396.0, 36.0], aE6byGqHYo, 5684274]
[paragraph, [253.0, 788.0, 396.0, 36.0], aE6byGqHYo, 5684274]
[paragraph, [262.0, 839.0, 396.0, 36.0], JfdhM0_sO4, 5684274]
[paragraph, [262.0, 875.0, 396.0, 36.0], JfdhM0_sO4, 5684274]
[paragraph, [257.0, 932.0, 373.0, 36.0], JRB4_rDTBp, 5684274]
[paragraph, [257.0, 968.0, 373.0, 36.0], JRB4_rDTBp, 5684274]
[paragraph, [246.0, 1015.0, 410.0, 36.0], Z2frrT8bXa, 5684274]
[paragraph, [246.0, 1051.0, 410.0, 36.0], Z2frrT8bXa, 5684274]
[paragraph, [251.0, 1102.0, 415.0, 36.0], vsDaZ4h_Eg, 5684274]
[paragraph, [251.0, 1138.0, 415.0, 36.0], vsDaZ4h_Eg, 5684274]
[paragraph, [255.0, 1198.0, 417.0, 36.0], SBHGZJl7CY, 5684274]
[paragraph, [255.0, 1234.0, 417.0, 36.0], SBHGZJl7CY, 5684274]
[paragraph, [255.0, 1270.0, 417.0, 36.0], SBHGZJl7CY, 5684274]
[paragraph, [258.0, 1329.0, 421.0, 36.0], vUatd17Bkj, 5684274]
[paragraph, [258.0, 1365.0, 421.0, 36.0], vUatd17Bkj, 5684274]
[paragraph, [255.0, 1420.0, 391.0, 36.0], JOKfwEEv0L, 5684274]
[paragraph, [255.0, 1456.0, 391.0, 36.0], JOKfwEEv0L, 5684274]
