[2339, 1653]
[paragraph, [224.0, 208.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 244.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 280.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 316.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 352.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 388.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 424.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 460.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 496.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 532.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 568.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 604.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 640.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 676.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 712.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 748.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 784.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 820.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 856.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 892.0, 1207.0, 36.0], shoonya_1sFL5J01L5ZEHV, 5686959]
[paragraph, [224.0, 957.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [224.0, 993.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [224.0, 1029.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [224.0, 1065.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [224.0, 1101.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [224.0, 1137.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [224.0, 1173.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [224.0, 1209.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [224.0, 1245.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [224.0, 1281.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [224.0, 1317.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [224.0, 1353.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [224.0, 1389.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [224.0, 1425.0, 1206.0, 36.0], shoonya_2s2LWJI7Q0F9E3, 5686959]
[paragraph, [222.0, 1478.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[paragraph, [222.0, 1514.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[paragraph, [222.0, 1550.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[paragraph, [222.0, 1586.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[paragraph, [222.0, 1622.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[paragraph, [222.0, 1658.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[paragraph, [222.0, 1694.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[paragraph, [222.0, 1730.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[paragraph, [222.0, 1766.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[paragraph, [222.0, 1802.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[paragraph, [222.0, 1838.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[paragraph, [222.0, 1874.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[paragraph, [222.0, 1910.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[paragraph, [222.0, 1946.0, 1206.0, 36.0], shoonya_0s7SFT1FTWQWAT, 5686959]
[reference, [226.0, 2076.0, 843.0, 36.0], shoonya_3sW7FTNZ6T2GNH, 5686959]
