[2067, 1567]
[folio, [189.0, 195.0, 142.0, 36.0], 3RiS2TAgfs, 5736147]
[folio, [1060.0, 195.0, 311.0, 36.0], m18LSw8YNk, 5736147]
[paragraph, [789.0, 250.0, 584.0, 36.0], shoonya_11sEW030WEV6F9, 5736147]
[paragraph, [789.0, 286.0, 584.0, 36.0], shoonya_11sEW030WEV6F9, 5736147]
[paragraph, [792.0, 339.0, 579.0, 36.0], shoonya_5s8Y3RYHV350ZM, 5736147]
[paragraph, [792.0, 375.0, 579.0, 36.0], shoonya_5s8Y3RYHV350ZM, 5736147]
[paragraph, [792.0, 411.0, 579.0, 36.0], shoonya_5s8Y3RYHV350ZM, 5736147]
[paragraph, [792.0, 447.0, 579.0, 36.0], shoonya_5s8Y3RYHV350ZM, 5736147]
[paragraph, [792.0, 483.0, 579.0, 36.0], shoonya_5s8Y3RYHV350ZM, 5736147]
[paragraph, [792.0, 519.0, 579.0, 36.0], shoonya_5s8Y3RYHV350ZM, 5736147]
[paragraph, [452.0, 387.0, 319.0, 36.0], shoonya_8s4Q1VND0XKMB0, 5736147]
[paragraph, [452.0, 423.0, 319.0, 36.0], shoonya_8s4Q1VND0XKMB0, 5736147]
[paragraph, [452.0, 459.0, 319.0, 36.0], shoonya_8s4Q1VND0XKMB0, 5736147]
[paragraph, [452.0, 495.0, 319.0, 36.0], shoonya_8s4Q1VND0XKMB0, 5736147]
[paragraph, [452.0, 531.0, 319.0, 36.0], shoonya_8s4Q1VND0XKMB0, 5736147]
[paragraph, [452.0, 567.0, 319.0, 36.0], shoonya_8s4Q1VND0XKMB0, 5736147]
[paragraph, [452.0, 603.0, 319.0, 36.0], shoonya_8s4Q1VND0XKMB0, 5736147]
[paragraph, [452.0, 639.0, 319.0, 36.0], shoonya_8s4Q1VND0XKMB0, 5736147]
[paragraph, [452.0, 675.0, 319.0, 36.0], shoonya_8s4Q1VND0XKMB0, 5736147]
[paragraph, [793.0, 561.0, 579.0, 36.0], shoonya_2sM64J1NV0JQ3B, 5736147]
[paragraph, [793.0, 597.0, 579.0, 36.0], shoonya_2sM64J1NV0JQ3B, 5736147]
[paragraph, [793.0, 633.0, 579.0, 36.0], shoonya_2sM64J1NV0JQ3B, 5736147]
[paragraph, [793.0, 669.0, 579.0, 36.0], shoonya_2sM64J1NV0JQ3B, 5736147]
[paragraph, [793.0, 705.0, 579.0, 36.0], shoonya_2sM64J1NV0JQ3B, 5736147]
[paragraph, [793.0, 741.0, 579.0, 36.0], shoonya_2sM64J1NV0JQ3B, 5736147]
[paragraph, [793.0, 777.0, 579.0, 36.0], shoonya_2sM64J1NV0JQ3B, 5736147]
[paragraph, [793.0, 813.0, 579.0, 36.0], shoonya_2sM64J1NV0JQ3B, 5736147]
[paragraph, [193.0, 738.0, 582.0, 36.0], shoonya_9sWQEO8PD78R14, 5736147]
[paragraph, [193.0, 774.0, 582.0, 36.0], shoonya_9sWQEO8PD78R14, 5736147]
[paragraph, [193.0, 810.0, 582.0, 36.0], shoonya_9sWQEO8PD78R14, 5736147]
[paragraph, [793.0, 873.0, 577.0, 36.0], shoonya_4s0LHYVDM42IO5, 5736147]
[paragraph, [793.0, 909.0, 577.0, 36.0], shoonya_4s0LHYVDM42IO5, 5736147]
[paragraph, [793.0, 945.0, 577.0, 36.0], shoonya_4s0LHYVDM42IO5, 5736147]
[paragraph, [793.0, 981.0, 577.0, 36.0], shoonya_4s0LHYVDM42IO5, 5736147]
