[1650, 1275]
[paragraph, [264.0, 121.0, 830.0, 36.0], shoonya_1sTUJS9NN9GR3D, 5714095]
[paragraph, [264.0, 157.0, 830.0, 36.0], shoonya_1sTUJS9NN9GR3D, 5714095]
[paragraph, [264.0, 193.0, 830.0, 36.0], shoonya_1sTUJS9NN9GR3D, 5714095]
[paragraph, [264.0, 229.0, 830.0, 36.0], shoonya_1sTUJS9NN9GR3D, 5714095]
[paragraph, [264.0, 265.0, 830.0, 36.0], shoonya_1sTUJS9NN9GR3D, 5714095]
[paragraph, [264.0, 301.0, 830.0, 36.0], shoonya_1sTUJS9NN9GR3D, 5714095]
[paragraph, [264.0, 337.0, 830.0, 36.0], shoonya_1sTUJS9NN9GR3D, 5714095]
[paragraph, [264.0, 373.0, 830.0, 36.0], shoonya_1sTUJS9NN9GR3D, 5714095]
[paragraph, [264.0, 409.0, 830.0, 36.0], shoonya_1sTUJS9NN9GR3D, 5714095]
[paragraph, [262.0, 460.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 496.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 532.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 568.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 604.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 640.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 676.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 712.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 748.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 784.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 820.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 856.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 892.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 928.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 964.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 1000.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 1036.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 1072.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 1108.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 1144.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 1180.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 1216.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 1252.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 1288.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 1324.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 1360.0, 831.0, 36.0], I7D8boTQAH, 5714095]
[paragraph, [262.0, 1396.0, 831.0, 36.0], I7D8boTQAH, 5714095]
