[1650, 1275]
[folio, [733.0, 94.0, 406.0, 36.0], jRt4blg8_P, 5714272]
[paragraph, [239.0, 198.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 234.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 270.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 306.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 342.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 378.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 414.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 450.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 486.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 522.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 558.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 594.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 630.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 666.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 702.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 738.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [239.0, 774.0, 906.0, 36.0], shoonya_0sKJNHPX7GDATC, 5714272]
[paragraph, [238.0, 840.0, 896.0, 36.0], shoonya_1s4GMBC3FR6NDS, 5714272]
[paragraph, [238.0, 876.0, 896.0, 36.0], shoonya_1s4GMBC3FR6NDS, 5714272]
[paragraph, [238.0, 912.0, 896.0, 36.0], shoonya_1s4GMBC3FR6NDS, 5714272]
[paragraph, [238.0, 948.0, 896.0, 36.0], shoonya_1s4GMBC3FR6NDS, 5714272]
[paragraph, [238.0, 984.0, 896.0, 36.0], shoonya_1s4GMBC3FR6NDS, 5714272]
[paragraph, [238.0, 1020.0, 896.0, 36.0], shoonya_1s4GMBC3FR6NDS, 5714272]
[paragraph, [238.0, 1056.0, 896.0, 36.0], shoonya_1s4GMBC3FR6NDS, 5714272]
[paragraph, [238.0, 1092.0, 896.0, 36.0], shoonya_1s4GMBC3FR6NDS, 5714272]
[paragraph, [238.0, 1128.0, 896.0, 36.0], shoonya_1s4GMBC3FR6NDS, 5714272]
[paragraph, [239.0, 1224.0, 896.0, 36.0], shoonya_2sBVJ0L360OPH7, 5714272]
[paragraph, [239.0, 1260.0, 896.0, 36.0], shoonya_2sBVJ0L360OPH7, 5714272]
[paragraph, [239.0, 1296.0, 896.0, 36.0], shoonya_2sBVJ0L360OPH7, 5714272]
[paragraph, [239.0, 1332.0, 896.0, 36.0], shoonya_2sBVJ0L360OPH7, 5714272]
[paragraph, [239.0, 1368.0, 896.0, 36.0], shoonya_2sBVJ0L360OPH7, 5714272]
