[2339, 1653]
[paragraph, [325.0, 145.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 181.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 217.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 253.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 289.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 325.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 361.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 397.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 433.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 469.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 505.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 541.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 577.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 613.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 649.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 685.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 721.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 757.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 793.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 829.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 865.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 901.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 937.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 973.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 1009.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 1045.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 1081.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 1117.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 1153.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 1189.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 1225.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 1261.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 1297.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [325.0, 1333.0, 1140.0, 36.0], shoonya_1sGXU2HORVR68C, 5733465]
[paragraph, [326.0, 1389.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1425.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1461.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1497.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1533.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1569.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1605.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1641.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1677.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1713.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1749.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1785.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1821.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1857.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1893.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1929.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 1965.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 2001.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[paragraph, [326.0, 2037.0, 1134.0, 36.0], shoonya_0sQRHIPX9GFTFM, 5733465]
[folio, [1122.0, 2160.0, 281.0, 36.0], FIZIlXzgoY, 5733465]
