[911, 559]
[paragraph, [39.0, 60.0, 504.0, 18.0], shoonya_2sAQIIMTKC5RG1, 5776797]
[paragraph, [39.0, 78.0, 504.0, 18.0], shoonya_2sAQIIMTKC5RG1, 5776797]
[paragraph, [39.0, 96.0, 504.0, 18.0], shoonya_2sAQIIMTKC5RG1, 5776797]
[paragraph, [39.0, 114.0, 504.0, 18.0], shoonya_2sAQIIMTKC5RG1, 5776797]
[paragraph, [39.0, 132.0, 504.0, 18.0], shoonya_2sAQIIMTKC5RG1, 5776797]
[paragraph, [39.0, 150.0, 504.0, 18.0], shoonya_2sAQIIMTKC5RG1, 5776797]
[paragraph, [39.0, 168.0, 504.0, 18.0], shoonya_2sAQIIMTKC5RG1, 5776797]
[paragraph, [39.0, 186.0, 504.0, 18.0], shoonya_2sAQIIMTKC5RG1, 5776797]
[paragraph, [39.0, 204.0, 504.0, 18.0], shoonya_2sAQIIMTKC5RG1, 5776797]
[paragraph, [39.0, 222.0, 504.0, 18.0], shoonya_2sAQIIMTKC5RG1, 5776797]
[paragraph, [39.0, 240.0, 504.0, 18.0], shoonya_2sAQIIMTKC5RG1, 5776797]
[paragraph, [40.0, 278.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 296.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 314.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 332.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 350.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 368.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 386.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 404.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 422.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 440.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 458.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 476.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 494.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 512.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 530.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 548.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 566.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [40.0, 584.0, 500.0, 18.0], shoonya_0sDKUT69MKN578, 5776797]
[paragraph, [41.0, 606.0, 504.0, 18.0], shoonya_1s47EAZGRCMRV3, 5776797]
[paragraph, [41.0, 624.0, 504.0, 18.0], shoonya_1s47EAZGRCMRV3, 5776797]
[paragraph, [41.0, 642.0, 504.0, 18.0], shoonya_1s47EAZGRCMRV3, 5776797]
[paragraph, [41.0, 660.0, 504.0, 18.0], shoonya_1s47EAZGRCMRV3, 5776797]
[paragraph, [41.0, 678.0, 504.0, 18.0], shoonya_1s47EAZGRCMRV3, 5776797]
[paragraph, [41.0, 696.0, 504.0, 18.0], shoonya_1s47EAZGRCMRV3, 5776797]
[paragraph, [41.0, 714.0, 504.0, 18.0], shoonya_1s47EAZGRCMRV3, 5776797]
[paragraph, [41.0, 732.0, 504.0, 18.0], shoonya_1s47EAZGRCMRV3, 5776797]
[paragraph, [41.0, 750.0, 504.0, 18.0], shoonya_1s47EAZGRCMRV3, 5776797]
[paragraph, [41.0, 768.0, 504.0, 18.0], shoonya_1s47EAZGRCMRV3, 5776797]
[paragraph, [41.0, 794.0, 502.0, 18.0], shoonya_3sI0RGXLFTQ6ZS, 5776797]
[paragraph, [41.0, 812.0, 502.0, 18.0], shoonya_3sI0RGXLFTQ6ZS, 5776797]
[paragraph, [41.0, 830.0, 502.0, 18.0], shoonya_3sI0RGXLFTQ6ZS, 5776797]
[paragraph, [41.0, 848.0, 502.0, 18.0], shoonya_3sI0RGXLFTQ6ZS, 5776797]
[paragraph, [60.0, 866.0, 484.0, 18.0], o9lgpsG2XR, 5776797]
