[953, 603]
[paragraph, [21.0, 82.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 100.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 118.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 136.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 154.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 172.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 190.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 208.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 226.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 244.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 262.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 280.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 298.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 316.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 334.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 352.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 370.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 388.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 406.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 424.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 442.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 460.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 478.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 496.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 514.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 532.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [21.0, 550.0, 558.0, 18.0], shoonya_0sY1AQ305PW87J, 5774069]
[paragraph, [23.0, 587.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 605.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 623.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 641.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 659.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 677.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 695.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 713.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 731.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 749.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 767.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 785.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 803.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 821.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 839.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 857.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 875.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
[paragraph, [23.0, 893.0, 557.0, 18.0], shoonya_3sRJOHCH2HURZ0, 5774069]
