[576, 360]
[author, [114.0, 134.0, 136.0, 18.0], ttXY-gqzbB, 6515908]
[paragraph, [31.0, 220.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 238.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 256.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 274.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 292.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 310.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 328.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 346.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 364.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 382.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 400.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 418.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 436.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 454.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 472.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 490.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
[paragraph, [31.0, 508.0, 298.0, 18.0], shoonya_0sZS9ZNF550GNY, 6515908]
