[1755, 1240]
[folio, [637.0, 71.0, 483.0, 36.0], 2SzD_6lgjC, 5743920]
[paragraph, [195.0, 209.0, 940.0, 36.0], shoonya_3s8CCN5SXJUXCT, 5743920]
[paragraph, [195.0, 245.0, 940.0, 36.0], shoonya_3s8CCN5SXJUXCT, 5743920]
[paragraph, [195.0, 281.0, 940.0, 36.0], shoonya_3s8CCN5SXJUXCT, 5743920]
[paragraph, [195.0, 317.0, 940.0, 36.0], shoonya_3s8CCN5SXJUXCT, 5743920]
[paragraph, [195.0, 353.0, 940.0, 36.0], shoonya_3s8CCN5SXJUXCT, 5743920]
[paragraph, [201.0, 410.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 446.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 482.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 518.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 554.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 590.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 626.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 662.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 698.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 734.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 770.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 806.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 842.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 878.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 914.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 950.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 986.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 1022.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 1058.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 1094.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 1130.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 1166.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 1202.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [201.0, 1238.0, 926.0, 36.0], i50vvj9DUB, 5743920]
[paragraph, [197.0, 1301.0, 931.0, 36.0], shoonya_2sJZMSD1ZODMQJ, 5743920]
[paragraph, [197.0, 1337.0, 931.0, 36.0], shoonya_2sJZMSD1ZODMQJ, 5743920]
[paragraph, [197.0, 1373.0, 931.0, 36.0], shoonya_2sJZMSD1ZODMQJ, 5743920]
[paragraph, [197.0, 1409.0, 931.0, 36.0], shoonya_2sJZMSD1ZODMQJ, 5743920]
[paragraph, [197.0, 1445.0, 931.0, 36.0], shoonya_2sJZMSD1ZODMQJ, 5743920]
[paragraph, [197.0, 1481.0, 931.0, 36.0], shoonya_2sJZMSD1ZODMQJ, 5743920]
