[1818, 1374]
[folio, [535.0, 175.0, 285.0, 36.0], shoonya_11s5ZVY9NOMNNN, 5682037]
[paragraph, [83.0, 252.0, 591.0, 36.0], shoonya_2s5J144DF5799Y, 5682037]
[paragraph, [83.0, 288.0, 591.0, 36.0], shoonya_2s5J144DF5799Y, 5682037]
[paragraph, [83.0, 324.0, 591.0, 36.0], shoonya_2s5J144DF5799Y, 5682037]
[paragraph, [83.0, 360.0, 591.0, 36.0], shoonya_2s5J144DF5799Y, 5682037]
[paragraph, [83.0, 396.0, 591.0, 36.0], shoonya_2s5J144DF5799Y, 5682037]
[paragraph, [83.0, 432.0, 591.0, 36.0], shoonya_2s5J144DF5799Y, 5682037]
[paragraph, [83.0, 468.0, 591.0, 36.0], shoonya_2s5J144DF5799Y, 5682037]
[paragraph, [83.0, 504.0, 591.0, 36.0], shoonya_2s5J144DF5799Y, 5682037]
[paragraph, [686.0, 253.0, 582.0, 36.0], shoonya_6s1TN2DSZX83Y8, 5682037]
[paragraph, [686.0, 289.0, 582.0, 36.0], shoonya_6s1TN2DSZX83Y8, 5682037]
[paragraph, [685.0, 339.0, 585.0, 36.0], shoonya_5sHSDJPY1EA17D, 5682037]
[paragraph, [685.0, 375.0, 585.0, 36.0], shoonya_5sHSDJPY1EA17D, 5682037]
[paragraph, [684.0, 420.0, 584.0, 36.0], shoonya_10sNV67LH3GBNF, 5682037]
[paragraph, [684.0, 456.0, 584.0, 36.0], shoonya_10sNV67LH3GBNF, 5682037]
[paragraph, [684.0, 498.0, 584.0, 36.0], shoonya_3sDSCN385APQIZ, 5682037]
[paragraph, [684.0, 534.0, 584.0, 36.0], shoonya_3sDSCN385APQIZ, 5682037]
[paragraph, [686.0, 578.0, 578.0, 36.0], shoonya_4sBUY1JF3BFVVG, 5682037]
[paragraph, [686.0, 614.0, 578.0, 36.0], shoonya_4sBUY1JF3BFVVG, 5682037]
[paragraph, [686.0, 650.0, 578.0, 36.0], shoonya_4sBUY1JF3BFVVG, 5682037]
[paragraph, [686.0, 686.0, 578.0, 36.0], shoonya_4sBUY1JF3BFVVG, 5682037]
[paragraph, [686.0, 722.0, 578.0, 36.0], shoonya_4sBUY1JF3BFVVG, 5682037]
[paragraph, [686.0, 758.0, 578.0, 36.0], shoonya_4sBUY1JF3BFVVG, 5682037]
[paragraph, [686.0, 794.0, 578.0, 36.0], shoonya_4sBUY1JF3BFVVG, 5682037]
[paragraph, [686.0, 830.0, 578.0, 36.0], shoonya_4sBUY1JF3BFVVG, 5682037]
[paragraph, [91.0, 588.0, 582.0, 36.0], shoonya_13sOBPRRMQKRE0, 5682037]
[paragraph, [91.0, 624.0, 582.0, 36.0], shoonya_13sOBPRRMQKRE0, 5682037]
[paragraph, [91.0, 660.0, 582.0, 36.0], shoonya_13sOBPRRMQKRE0, 5682037]
[paragraph, [91.0, 696.0, 582.0, 36.0], shoonya_13sOBPRRMQKRE0, 5682037]
[paragraph, [91.0, 732.0, 582.0, 36.0], shoonya_13sOBPRRMQKRE0, 5682037]
[paragraph, [95.0, 790.0, 583.0, 36.0], shoonya_7sR22Q1RO212DV, 5682037]
[paragraph, [95.0, 826.0, 583.0, 36.0], shoonya_7sR22Q1RO212DV, 5682037]
[paragraph, [95.0, 862.0, 583.0, 36.0], shoonya_7sR22Q1RO212DV, 5682037]
[paragraph, [115.0, 912.0, 560.0, 36.0], shoonya_9sWYT786NY087N, 5682037]
[paragraph, [115.0, 948.0, 560.0, 36.0], shoonya_9sWYT786NY087N, 5682037]
[paragraph, [698.0, 939.0, 562.0, 36.0], c-Su6dblvg, 5682037]
[paragraph, [698.0, 975.0, 562.0, 36.0], c-Su6dblvg, 5682037]
[paragraph, [698.0, 1011.0, 562.0, 36.0], c-Su6dblvg, 5682037]
[paragraph, [698.0, 1047.0, 562.0, 36.0], c-Su6dblvg, 5682037]
[paragraph, [114.0, 1034.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
[paragraph, [114.0, 1070.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
[paragraph, [114.0, 1106.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
[paragraph, [114.0, 1142.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
[paragraph, [114.0, 1178.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
[paragraph, [114.0, 1214.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
[paragraph, [114.0, 1250.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
[paragraph, [114.0, 1286.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
[paragraph, [114.0, 1322.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
[paragraph, [114.0, 1358.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
[paragraph, [114.0, 1394.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
[paragraph, [114.0, 1430.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
[paragraph, [114.0, 1466.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
[paragraph, [114.0, 1502.0, 562.0, 36.0], hrvl-6znZ5, 5682037]
