[1437, 878]
[folio, [288.0, 55.0, 244.0, 18.0], HgM0eUJtes, 5770583]
[folio, [288.0, 73.0, 244.0, 18.0], HgM0eUJtes, 5770583]
[folio, [288.0, 91.0, 244.0, 18.0], HgM0eUJtes, 5770583]
[paragraph, [78.0, 134.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 152.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 170.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 188.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 206.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 224.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 242.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 260.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 278.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 296.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 314.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 332.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 350.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 368.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 386.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 404.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 422.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 440.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 458.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 476.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 494.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 512.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 530.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 548.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 566.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 584.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 602.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [78.0, 620.0, 361.0, 18.0], zkZ4r9bByb, 5770583]
[paragraph, [444.0, 136.0, 365.0, 18.0], iNR9uW_R-h, 5770583]
[paragraph, [444.0, 154.0, 365.0, 18.0], iNR9uW_R-h, 5770583]
[paragraph, [444.0, 172.0, 365.0, 18.0], iNR9uW_R-h, 5770583]
[paragraph, [444.0, 190.0, 365.0, 18.0], iNR9uW_R-h, 5770583]
[paragraph, [444.0, 208.0, 365.0, 18.0], iNR9uW_R-h, 5770583]
[paragraph, [444.0, 226.0, 365.0, 18.0], iNR9uW_R-h, 5770583]
