[1634, 1040]
[paragraph, [98.0, 162.0, 846.0, 36.0], o1jRV3NhDu, 5731049]
[paragraph, [98.0, 198.0, 846.0, 36.0], o1jRV3NhDu, 5731049]
[paragraph, [142.0, 256.0, 801.0, 36.0], shoonya_4sBBH7W5SHR3ZN, 5731049]
[paragraph, [142.0, 292.0, 801.0, 36.0], shoonya_4sBBH7W5SHR3ZN, 5731049]
[paragraph, [142.0, 328.0, 801.0, 36.0], shoonya_4sBBH7W5SHR3ZN, 5731049]
[paragraph, [98.0, 396.0, 847.0, 36.0], shoonya_2sRCRA7HXK6N0C, 5731049]
[paragraph, [98.0, 432.0, 847.0, 36.0], shoonya_2sRCRA7HXK6N0C, 5731049]
[paragraph, [98.0, 468.0, 847.0, 36.0], shoonya_2sRCRA7HXK6N0C, 5731049]
[paragraph, [97.0, 539.0, 844.0, 36.0], shoonya_1sOY58OY95Z5HH, 5731049]
[paragraph, [97.0, 575.0, 844.0, 36.0], shoonya_1sOY58OY95Z5HH, 5731049]
[paragraph, [97.0, 611.0, 844.0, 36.0], shoonya_1sOY58OY95Z5HH, 5731049]
[paragraph, [97.0, 647.0, 844.0, 36.0], shoonya_1sOY58OY95Z5HH, 5731049]
[paragraph, [97.0, 683.0, 844.0, 36.0], shoonya_1sOY58OY95Z5HH, 5731049]
[paragraph, [97.0, 719.0, 844.0, 36.0], shoonya_1sOY58OY95Z5HH, 5731049]
[paragraph, [97.0, 755.0, 844.0, 36.0], shoonya_1sOY58OY95Z5HH, 5731049]
[paragraph, [97.0, 791.0, 844.0, 36.0], shoonya_1sOY58OY95Z5HH, 5731049]
[paragraph, [97.0, 827.0, 844.0, 36.0], shoonya_1sOY58OY95Z5HH, 5731049]
[paragraph, [97.0, 863.0, 844.0, 36.0], shoonya_1sOY58OY95Z5HH, 5731049]
[paragraph, [94.0, 906.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 942.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 978.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1014.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1050.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1086.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1122.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1158.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1194.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1230.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1266.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1302.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1338.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1374.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1410.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1446.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
[paragraph, [94.0, 1482.0, 847.0, 36.0], shoonya_0sSWF0SAHI1BIZ, 5731049]
