[2230, 1704]
[paragraph, [79.0, 150.0, 773.0, 36.0], shoonya_17sPPD36L8GVFT, 5654051]
[paragraph, [79.0, 186.0, 773.0, 36.0], shoonya_17sPPD36L8GVFT, 5654051]
[paragraph, [79.0, 222.0, 773.0, 36.0], shoonya_17sPPD36L8GVFT, 5654051]
[paragraph, [79.0, 258.0, 773.0, 36.0], shoonya_17sPPD36L8GVFT, 5654051]
[paragraph, [79.0, 294.0, 773.0, 36.0], shoonya_17sPPD36L8GVFT, 5654051]
[paragraph, [79.0, 330.0, 773.0, 36.0], shoonya_17sPPD36L8GVFT, 5654051]
[paragraph, [79.0, 366.0, 773.0, 36.0], shoonya_17sPPD36L8GVFT, 5654051]
[paragraph, [79.0, 402.0, 773.0, 36.0], shoonya_17sPPD36L8GVFT, 5654051]
[paragraph, [79.0, 438.0, 773.0, 36.0], shoonya_17sPPD36L8GVFT, 5654051]
[paragraph, [79.0, 474.0, 773.0, 36.0], shoonya_17sPPD36L8GVFT, 5654051]
[paragraph, [886.0, 158.0, 777.0, 36.0], shoonya_11sZJASJGOFX7Z, 5654051]
[paragraph, [886.0, 194.0, 777.0, 36.0], shoonya_11sZJASJGOFX7Z, 5654051]
[paragraph, [886.0, 230.0, 777.0, 36.0], shoonya_11sZJASJGOFX7Z, 5654051]
[paragraph, [886.0, 266.0, 777.0, 36.0], shoonya_11sZJASJGOFX7Z, 5654051]
[paragraph, [886.0, 302.0, 777.0, 36.0], shoonya_11sZJASJGOFX7Z, 5654051]
[paragraph, [886.0, 338.0, 777.0, 36.0], shoonya_11sZJASJGOFX7Z, 5654051]
[paragraph, [886.0, 374.0, 777.0, 36.0], shoonya_11sZJASJGOFX7Z, 5654051]
[paragraph, [1117.0, 404.0, 543.0, 36.0], P17UmFTFug, 5654051]
[paragraph, [1117.0, 440.0, 543.0, 36.0], P17UmFTFug, 5654051]
[paragraph, [1117.0, 476.0, 543.0, 36.0], P17UmFTFug, 5654051]
[paragraph, [1117.0, 512.0, 543.0, 36.0], P17UmFTFug, 5654051]
[paragraph, [1117.0, 548.0, 543.0, 36.0], P17UmFTFug, 5654051]
[paragraph, [1117.0, 584.0, 543.0, 36.0], P17UmFTFug, 5654051]
[paragraph, [1117.0, 620.0, 543.0, 36.0], P17UmFTFug, 5654051]
[paragraph, [1117.0, 656.0, 543.0, 36.0], P17UmFTFug, 5654051]
[paragraph, [1117.0, 692.0, 543.0, 36.0], P17UmFTFug, 5654051]
[paragraph, [1117.0, 728.0, 543.0, 36.0], P17UmFTFug, 5654051]
[paragraph, [1117.0, 764.0, 543.0, 36.0], P17UmFTFug, 5654051]
[paragraph, [1117.0, 800.0, 543.0, 36.0], P17UmFTFug, 5654051]
[paragraph, [83.0, 544.0, 526.0, 36.0], shoonya_7sIEBDEZJGBMJV, 5654051]
[paragraph, [83.0, 580.0, 526.0, 36.0], shoonya_7sIEBDEZJGBMJV, 5654051]
[paragraph, [83.0, 616.0, 526.0, 36.0], shoonya_7sIEBDEZJGBMJV, 5654051]
[paragraph, [83.0, 652.0, 526.0, 36.0], shoonya_7sIEBDEZJGBMJV, 5654051]
[paragraph, [83.0, 688.0, 526.0, 36.0], shoonya_7sIEBDEZJGBMJV, 5654051]
[paragraph, [83.0, 724.0, 526.0, 36.0], shoonya_7sIEBDEZJGBMJV, 5654051]
[paragraph, [83.0, 760.0, 526.0, 36.0], shoonya_7sIEBDEZJGBMJV, 5654051]
[paragraph, [83.0, 796.0, 526.0, 36.0], shoonya_7sIEBDEZJGBMJV, 5654051]
