[1536, 1111]
[headline, [59.0, 55.0, 981.0, 37.5], 3OKrpB73MR, 5725803]
[headline, [59.0, 92.5, 981.0, 37.5], 3OKrpB73MR, 5725803]
[headline, [59.0, 130.0, 981.0, 37.5], 3OKrpB73MR, 5725803]
[headline, [59.0, 167.5, 981.0, 37.5], 3OKrpB73MR, 5725803]
[headline, [59.0, 205.0, 981.0, 37.5], 3OKrpB73MR, 5725803]
[headline, [59.0, 242.5, 981.0, 37.5], 3OKrpB73MR, 5725803]
[sub-headline, [612.0, 336.0, 345.0, 36.0], fjujMfurKG, 5725803]
[unordered-list, [615.0, 380.0, 422.0, 36.0], PCqqvGX1p6, 5725803]
[unordered-list, [615.0, 416.0, 422.0, 36.0], PCqqvGX1p6, 5725803]
[unordered-list, [615.0, 452.0, 422.0, 36.0], PCqqvGX1p6, 5725803]
[unordered-list, [615.0, 488.0, 422.0, 36.0], PCqqvGX1p6, 5725803]
[unordered-list, [615.0, 524.0, 422.0, 36.0], PCqqvGX1p6, 5725803]
[unordered-list, [615.0, 560.0, 422.0, 36.0], PCqqvGX1p6, 5725803]
[unordered-list, [615.0, 596.0, 422.0, 36.0], PCqqvGX1p6, 5725803]
[unordered-list, [615.0, 632.0, 422.0, 36.0], PCqqvGX1p6, 5725803]
[unordered-list, [615.0, 668.0, 422.0, 36.0], PCqqvGX1p6, 5725803]
[unordered-list, [615.0, 704.0, 422.0, 36.0], PCqqvGX1p6, 5725803]
[unordered-list, [615.0, 740.0, 422.0, 36.0], PCqqvGX1p6, 5725803]
[sub-headline, [56.0, 604.0, 309.0, 36.0], wqRSqU54ls, 5725803]
[unordered-list, [52.0, 649.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 685.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 721.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 757.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 793.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 829.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 865.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 901.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 937.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 973.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 1009.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 1045.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 1081.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 1117.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 1153.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[unordered-list, [52.0, 1189.0, 316.0, 36.0], tXkTM7GINQ, 5725803]
[sub-headline, [612.0, 791.0, 316.0, 36.0], Z1zMiY-Fxq, 5725803]
[unordered-list, [612.0, 837.0, 424.0, 36.0], eMK0m6iRBS, 5725803]
[unordered-list, [612.0, 873.0, 424.0, 36.0], eMK0m6iRBS, 5725803]
[unordered-list, [612.0, 909.0, 424.0, 36.0], eMK0m6iRBS, 5725803]
[unordered-list, [612.0, 945.0, 424.0, 36.0], eMK0m6iRBS, 5725803]
[unordered-list, [612.0, 981.0, 424.0, 36.0], eMK0m6iRBS, 5725803]
[unordered-list, [612.0, 1017.0, 424.0, 36.0], eMK0m6iRBS, 5725803]
[unordered-list, [612.0, 1053.0, 424.0, 36.0], eMK0m6iRBS, 5725803]
[unordered-list, [612.0, 1089.0, 424.0, 36.0], eMK0m6iRBS, 5725803]
[unordered-list, [612.0, 1125.0, 424.0, 36.0], eMK0m6iRBS, 5725803]
[unordered-list, [612.0, 1161.0, 424.0, 36.0], eMK0m6iRBS, 5725803]
[unordered-list, [612.0, 1197.0, 424.0, 36.0], eMK0m6iRBS, 5725803]
[contact-info, [176.0, 1249.0, 844.0, 36.0], vDf4MUm6KN, 5725803]
[contact-info, [176.0, 1285.0, 844.0, 36.0], vDf4MUm6KN, 5725803]
[contact-info, [176.0, 1321.0, 844.0, 36.0], vDf4MUm6KN, 5725803]
[contact-info, [176.0, 1357.0, 844.0, 36.0], vDf4MUm6KN, 5725803]
[contact-info, [176.0, 1393.0, 844.0, 36.0], vDf4MUm6KN, 5725803]
[website-link, [180.0, 1377.0, 265.0, 18.0], h4819mTlYI, 5725803]
