[1650, 1275]
[paragraph, [256.0, 136.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [256.0, 172.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [256.0, 208.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [256.0, 244.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [256.0, 280.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [256.0, 316.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [256.0, 352.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [256.0, 388.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [256.0, 424.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [256.0, 460.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [256.0, 496.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [256.0, 532.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [256.0, 568.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [256.0, 604.0, 837.0, 36.0], WlD62BaFbz, 6470507]
[paragraph, [257.0, 686.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 722.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 758.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 794.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 830.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 866.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 902.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 938.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 974.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 1010.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 1046.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 1082.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 1118.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 1154.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 1190.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 1226.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 1262.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 1298.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
[paragraph, [257.0, 1334.0, 829.0, 36.0], shoonya_0sFRAWGNYG7LBS, 6470507]
