[1818, 1374]
[folio, [489.0, 117.0, 402.0, 36.0], shoonya_3sK2RRHYDYVYK2, 5682718]
[paragraph, [700.0, 178.0, 567.0, 36.0], shoonya_2sDIHHTF0NOF9J, 5682718]
[paragraph, [700.0, 214.0, 567.0, 36.0], shoonya_2sDIHHTF0NOF9J, 5682718]
[paragraph, [700.0, 250.0, 567.0, 36.0], shoonya_2sDIHHTF0NOF9J, 5682718]
[paragraph, [700.0, 286.0, 567.0, 36.0], shoonya_2sDIHHTF0NOF9J, 5682718]
[paragraph, [700.0, 322.0, 567.0, 36.0], shoonya_2sDIHHTF0NOF9J, 5682718]
[paragraph, [700.0, 358.0, 567.0, 36.0], shoonya_2sDIHHTF0NOF9J, 5682718]
[paragraph, [700.0, 394.0, 567.0, 36.0], shoonya_2sDIHHTF0NOF9J, 5682718]
[paragraph, [700.0, 430.0, 567.0, 36.0], shoonya_2sDIHHTF0NOF9J, 5682718]
[paragraph, [700.0, 466.0, 567.0, 36.0], shoonya_2sDIHHTF0NOF9J, 5682718]
[paragraph, [700.0, 502.0, 567.0, 36.0], shoonya_2sDIHHTF0NOF9J, 5682718]
[paragraph, [700.0, 538.0, 567.0, 36.0], shoonya_2sDIHHTF0NOF9J, 5682718]
[paragraph, [700.0, 574.0, 567.0, 36.0], shoonya_2sDIHHTF0NOF9J, 5682718]
[paragraph, [110.0, 185.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 221.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 257.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 293.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 329.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 365.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 401.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 437.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 473.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 509.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 545.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 581.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 617.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 653.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 689.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 725.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 761.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 797.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 833.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 869.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 905.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
[paragraph, [110.0, 941.0, 566.0, 36.0], shoonya_1sBNDVPHE5OG44, 5682718]
