[766, 567]
[website-link, [215.0, 19.0, 134.0, 18.0], gm65TODIlL, 5740251]
[paragraph, [50.0, 88.0, 473.0, 18.0], shoonya_2sMARXFXR5UA0Q, 5740251]
[paragraph, [50.0, 106.0, 473.0, 18.0], shoonya_2sMARXFXR5UA0Q, 5740251]
[paragraph, [50.0, 124.0, 473.0, 18.0], shoonya_2sMARXFXR5UA0Q, 5740251]
[paragraph, [55.0, 159.0, 462.0, 18.0], D7F-NX-BMl, 5740251]
[paragraph, [55.0, 177.0, 462.0, 18.0], D7F-NX-BMl, 5740251]
[paragraph, [55.0, 195.0, 462.0, 18.0], D7F-NX-BMl, 5740251]
[paragraph, [50.0, 212.0, 465.0, 18.0], 7sIZRkWwZZ, 5740251]
[paragraph, [50.0, 230.0, 465.0, 18.0], 7sIZRkWwZZ, 5740251]
[paragraph, [50.0, 248.0, 465.0, 18.0], 7sIZRkWwZZ, 5740251]
[paragraph, [51.0, 273.0, 459.0, 18.0], shoonya_4s00IGHX0OX66U, 5740251]
[paragraph, [51.0, 291.0, 459.0, 18.0], shoonya_4s00IGHX0OX66U, 5740251]
[paragraph, [51.0, 327.0, 456.0, 18.0], shoonya_1s25SY3PGXUSE3, 5740251]
[paragraph, [51.0, 345.0, 456.0, 18.0], shoonya_1s25SY3PGXUSE3, 5740251]
[paragraph, [51.0, 363.0, 456.0, 18.0], shoonya_1s25SY3PGXUSE3, 5740251]
[paragraph, [51.0, 381.0, 456.0, 18.0], shoonya_1s25SY3PGXUSE3, 5740251]
[unordered-list, [60.0, 441.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
[unordered-list, [60.0, 459.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
[unordered-list, [60.0, 477.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
[unordered-list, [60.0, 495.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
[unordered-list, [60.0, 513.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
[unordered-list, [60.0, 531.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
[unordered-list, [60.0, 549.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
[unordered-list, [60.0, 567.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
[unordered-list, [60.0, 585.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
[unordered-list, [60.0, 603.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
[unordered-list, [60.0, 621.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
[unordered-list, [60.0, 639.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
[unordered-list, [60.0, 657.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
[unordered-list, [60.0, 675.0, 448.0, 18.0], shoonya_0sV2KVVN58NTZ2, 5740251]
