[1356, 819]
[folio, [245.0, 115.0, 315.0, 18.0], shoonya_6sMYNT40R3LREP, 5782338]
[paragraph, [89.0, 152.0, 638.0, 18.0], shoonya_9sRXKWRW4EMF3I, 5782338]
[paragraph, [89.0, 170.0, 638.0, 18.0], shoonya_9sRXKWRW4EMF3I, 5782338]
[ordered-list, [89.0, 201.0, 637.0, 18.0], shoonya_1s88BJFQQRXEMI, 5782338]
[ordered-list, [89.0, 219.0, 637.0, 18.0], shoonya_1s88BJFQQRXEMI, 5782338]
[ordered-list, [89.0, 237.0, 637.0, 18.0], shoonya_1s88BJFQQRXEMI, 5782338]
[ordered-list, [89.0, 255.0, 637.0, 18.0], shoonya_1s88BJFQQRXEMI, 5782338]
[ordered-list, [89.0, 273.0, 637.0, 18.0], shoonya_1s88BJFQQRXEMI, 5782338]
[ordered-list, [89.0, 291.0, 637.0, 18.0], shoonya_1s88BJFQQRXEMI, 5782338]
[ordered-list, [89.0, 309.0, 637.0, 18.0], shoonya_1s88BJFQQRXEMI, 5782338]
[ordered-list, [89.0, 327.0, 637.0, 18.0], shoonya_1s88BJFQQRXEMI, 5782338]
[ordered-list, [79.0, 373.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 391.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 409.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 427.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 445.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 463.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 481.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 499.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 517.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 535.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 553.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 571.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 589.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 607.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 625.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 643.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 661.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 679.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 697.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 715.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 733.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 751.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 769.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 787.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[ordered-list, [79.0, 805.0, 660.0, 18.0], PfuGzvCvWd, 5782338]
[sub-ordered-list, [84.0, 411.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 429.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 447.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 465.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 483.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 501.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 519.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 537.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 555.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 573.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 591.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 609.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 627.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 645.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 663.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 681.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 699.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 717.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 735.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 753.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 771.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 789.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[sub-ordered-list, [84.0, 807.0, 647.0, 18.0], shoonya_8sDBAXMCNGGB1V, 5782338]
[subsub-ordered-list, [90.0, 594.0, 638.0, 18.0], DWV5mUOg0V, 5782338]
[subsub-ordered-list, [90.0, 612.0, 638.0, 18.0], DWV5mUOg0V, 5782338]
[subsub-ordered-list, [90.0, 630.0, 638.0, 18.0], DWV5mUOg0V, 5782338]
[subsub-ordered-list, [90.0, 648.0, 638.0, 18.0], DWV5mUOg0V, 5782338]
[subsub-ordered-list, [90.0, 666.0, 638.0, 18.0], DWV5mUOg0V, 5782338]
[subsub-ordered-list, [90.0, 684.0, 638.0, 18.0], DWV5mUOg0V, 5782338]
[subsub-ordered-list, [90.0, 702.0, 638.0, 18.0], DWV5mUOg0V, 5782338]
[subsub-ordered-list, [90.0, 720.0, 638.0, 18.0], DWV5mUOg0V, 5782338]
[subsub-ordered-list, [90.0, 738.0, 638.0, 18.0], DWV5mUOg0V, 5782338]
[subsub-ordered-list, [90.0, 756.0, 638.0, 18.0], DWV5mUOg0V, 5782338]
[subsub-ordered-list, [90.0, 774.0, 638.0, 18.0], DWV5mUOg0V, 5782338]
[subsub-ordered-list, [90.0, 792.0, 638.0, 18.0], DWV5mUOg0V, 5782338]
[sidebar, [615.0, 1185.0, 116.0, 18.0], xXXewtydx0, 5782338]
[figure-caption, [145.0, 1205.0, 526.0, 18.0], shoonya_10s9V46EKURHTQ, 5782338]
