[709, 412]
[folio, [170.0, 25.0, 67.0, 18.0], MTNSlEQgJ5, 5740755]
[paragraph, [26.0, 55.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 73.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 91.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 109.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 127.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 145.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 163.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 181.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 199.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 217.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 235.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 253.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 271.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 289.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 307.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 325.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 343.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 361.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 379.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 397.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 415.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 433.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 451.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 469.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 487.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 505.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 523.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 541.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 559.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 577.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 595.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 613.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 631.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [26.0, 649.0, 178.0, 18.0], flHpvF-vZA, 5740755]
[paragraph, [208.0, 59.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 77.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 95.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 113.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 131.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 149.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 167.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 185.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 203.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 221.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 239.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 257.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 275.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 293.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 311.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 329.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 347.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 365.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 383.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 401.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 419.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
[paragraph, [208.0, 437.0, 181.0, 18.0], Ve42_hnMq6, 5740755]
