[2200, 1700]
[folio, [275.0, 94.0, 1158.0, 36.0], shoonya_1s13ZC5R50KECO, 5738799]
[sidebar, [414.0, 195.0, 1096.0, 36.0], MGC0fis7dD, 5738799]
[sidebar, [414.0, 231.0, 1096.0, 36.0], MGC0fis7dD, 5738799]
[ordered-list, [235.0, 424.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 460.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 496.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 532.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 568.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 604.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 640.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 676.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 712.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 748.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 784.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 820.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 856.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 892.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 928.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 964.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1000.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1036.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1072.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1108.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1144.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1180.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1216.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1252.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1288.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1324.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1360.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1396.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1432.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1468.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1504.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1540.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1576.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1612.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1648.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1684.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1720.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1756.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
[ordered-list, [235.0, 1792.0, 1269.0, 36.0], shoonya_0sDIDZS51AI0IT, 5738799]
