[2339, 1654]
[paragraph, [182.0, 251.0, 1278.0, 36.0], shoonya_4sIE1CYPB1GR8Y, 5686824]
[paragraph, [182.0, 287.0, 1278.0, 36.0], shoonya_4sIE1CYPB1GR8Y, 5686824]
[paragraph, [182.0, 323.0, 1278.0, 36.0], shoonya_4sIE1CYPB1GR8Y, 5686824]
[paragraph, [182.0, 359.0, 1278.0, 36.0], shoonya_4sIE1CYPB1GR8Y, 5686824]
[paragraph, [186.0, 464.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 500.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 536.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 572.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 608.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 644.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 680.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 716.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 752.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 788.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 824.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 860.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 896.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 932.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 968.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1004.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1040.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1076.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1112.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1148.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1184.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1220.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1256.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1292.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1328.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1364.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1400.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1436.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1472.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1508.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [186.0, 1544.0, 1278.0, 36.0], shoonya_1sWKBB32S7FVIA, 5686824]
[paragraph, [190.0, 1659.0, 1272.0, 36.0], shoonya_2sAPEWA9EL73KJ, 5686824]
[paragraph, [190.0, 1695.0, 1272.0, 36.0], shoonya_2sAPEWA9EL73KJ, 5686824]
[paragraph, [190.0, 1731.0, 1272.0, 36.0], shoonya_2sAPEWA9EL73KJ, 5686824]
[paragraph, [190.0, 1767.0, 1272.0, 36.0], shoonya_2sAPEWA9EL73KJ, 5686824]
[paragraph, [190.0, 1803.0, 1272.0, 36.0], shoonya_2sAPEWA9EL73KJ, 5686824]
[paragraph, [190.0, 1839.0, 1272.0, 36.0], shoonya_2sAPEWA9EL73KJ, 5686824]
[paragraph, [190.0, 1875.0, 1272.0, 36.0], shoonya_2sAPEWA9EL73KJ, 5686824]
[reference, [199.0, 2034.0, 676.0, 36.0], shoonya_0sXKYHCASRWXRH, 5686824]
