[1050, 693]
[folio, [521.0, 77.0, 89.0, 18.0], _YfyNK9c7V, 5702401]
[folio, [521.0, 95.0, 89.0, 18.0], _YfyNK9c7V, 5702401]
[paragraph, [82.0, 126.0, 528.0, 18.0], shoonya_0s69KHOHILMSZ0, 5702401]
[paragraph, [82.0, 144.0, 528.0, 18.0], shoonya_0s69KHOHILMSZ0, 5702401]
[paragraph, [82.0, 162.0, 528.0, 18.0], shoonya_0s69KHOHILMSZ0, 5702401]
[paragraph, [82.0, 180.0, 528.0, 18.0], shoonya_0s69KHOHILMSZ0, 5702401]
[paragraph, [82.0, 198.0, 528.0, 18.0], shoonya_0s69KHOHILMSZ0, 5702401]
[paragraph, [83.0, 221.0, 529.0, 18.0], rg5Y7fRZWH, 5702401]
[paragraph, [83.0, 239.0, 529.0, 18.0], rg5Y7fRZWH, 5702401]
[paragraph, [83.0, 257.0, 529.0, 18.0], rg5Y7fRZWH, 5702401]
[paragraph, [83.0, 275.0, 529.0, 18.0], rg5Y7fRZWH, 5702401]
[paragraph, [83.0, 293.0, 529.0, 18.0], rg5Y7fRZWH, 5702401]
[paragraph, [83.0, 311.0, 529.0, 18.0], rg5Y7fRZWH, 5702401]
[paragraph, [83.0, 329.0, 529.0, 18.0], rg5Y7fRZWH, 5702401]
[paragraph, [83.0, 347.0, 529.0, 18.0], rg5Y7fRZWH, 5702401]
[paragraph, [83.0, 365.0, 529.0, 18.0], rg5Y7fRZWH, 5702401]
[paragraph, [83.0, 385.0, 527.0, 18.0], 7mk1L28AGy, 5702401]
[paragraph, [83.0, 403.0, 527.0, 18.0], 7mk1L28AGy, 5702401]
[paragraph, [83.0, 421.0, 527.0, 18.0], 7mk1L28AGy, 5702401]
[paragraph, [80.0, 455.0, 533.0, 18.0], XzFNLpf5-Z, 5702401]
[paragraph, [80.0, 473.0, 533.0, 18.0], XzFNLpf5-Z, 5702401]
[paragraph, [80.0, 491.0, 533.0, 18.0], XzFNLpf5-Z, 5702401]
[paragraph, [80.0, 509.0, 533.0, 18.0], XzFNLpf5-Z, 5702401]
[paragraph, [80.0, 527.0, 533.0, 18.0], XzFNLpf5-Z, 5702401]
[paragraph, [80.0, 545.0, 533.0, 18.0], XzFNLpf5-Z, 5702401]
[paragraph, [80.0, 563.0, 533.0, 18.0], XzFNLpf5-Z, 5702401]
[paragraph, [80.0, 581.0, 533.0, 18.0], XzFNLpf5-Z, 5702401]
[paragraph, [80.0, 633.0, 526.0, 18.0], HKI5-L7PA9, 5702401]
[paragraph, [80.0, 651.0, 526.0, 18.0], HKI5-L7PA9, 5702401]
[paragraph, [80.0, 669.0, 526.0, 18.0], HKI5-L7PA9, 5702401]
[paragraph, [80.0, 708.0, 528.0, 18.0], 68NCqRAc3W, 5702401]
[paragraph, [80.0, 726.0, 528.0, 18.0], 68NCqRAc3W, 5702401]
[paragraph, [80.0, 744.0, 528.0, 18.0], 68NCqRAc3W, 5702401]
[paragraph, [78.0, 780.0, 531.0, 18.0], 5Ah60LLHb0, 5702401]
[paragraph, [78.0, 798.0, 531.0, 18.0], 5Ah60LLHb0, 5702401]
[paragraph, [78.0, 816.0, 531.0, 18.0], 5Ah60LLHb0, 5702401]
[paragraph, [78.0, 834.0, 531.0, 18.0], 5Ah60LLHb0, 5702401]
[paragraph, [78.0, 852.0, 531.0, 18.0], 5Ah60LLHb0, 5702401]
[paragraph, [78.0, 870.0, 531.0, 18.0], 5Ah60LLHb0, 5702401]
[paragraph, [78.0, 888.0, 531.0, 18.0], 5Ah60LLHb0, 5702401]
[paragraph, [78.0, 906.0, 531.0, 18.0], 5Ah60LLHb0, 5702401]
[paragraph, [78.0, 924.0, 531.0, 18.0], 5Ah60LLHb0, 5702401]
[paragraph, [78.0, 942.0, 531.0, 18.0], 5Ah60LLHb0, 5702401]
