[834, 618]
[folio, [11.0, 40.0, 319.0, 18.0], sOy_5TMJ3a, 5712950]
[headline, [46.0, 93.0, 388.0, 25.5], shoonya_4sOU7MNLJ8URKU, 5712950]
[headline, [46.0, 118.5, 388.0, 25.5], shoonya_4sOU7MNLJ8URKU, 5712950]
[headline, [46.0, 144.0, 388.0, 25.5], shoonya_4sOU7MNLJ8URKU, 5712950]
[headline, [46.0, 169.5, 388.0, 25.5], shoonya_4sOU7MNLJ8URKU, 5712950]
[headline, [46.0, 195.0, 388.0, 25.5], shoonya_4sOU7MNLJ8URKU, 5712950]
[paragraph, [48.0, 237.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 255.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 273.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 291.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 309.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 327.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 345.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 363.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 381.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 399.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 417.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 435.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 453.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 471.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 489.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 507.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 525.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 543.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[paragraph, [48.0, 561.0, 165.0, 18.0], T9jRotgz2x, 5712950]
[sidebar, [219.0, 370.0, 207.0, 18.0], gseDmGBfsF, 5712950]
[sidebar, [219.0, 388.0, 207.0, 18.0], gseDmGBfsF, 5712950]
[sidebar, [219.0, 406.0, 207.0, 18.0], gseDmGBfsF, 5712950]
[sidebar, [219.0, 424.0, 207.0, 18.0], gseDmGBfsF, 5712950]
[sidebar, [219.0, 442.0, 207.0, 18.0], gseDmGBfsF, 5712950]
[sidebar, [219.0, 460.0, 207.0, 18.0], gseDmGBfsF, 5712950]
[sidebar, [219.0, 478.0, 207.0, 18.0], gseDmGBfsF, 5712950]
[sidebar, [219.0, 496.0, 207.0, 18.0], gseDmGBfsF, 5712950]
[sidebar, [219.0, 514.0, 207.0, 18.0], gseDmGBfsF, 5712950]
[sidebar, [219.0, 532.0, 207.0, 18.0], gseDmGBfsF, 5712950]
[sidebar, [219.0, 550.0, 207.0, 18.0], gseDmGBfsF, 5712950]
[paragraph, [41.0, 588.0, 273.0, 18.0], shoonya_5s3UC1H8N2OCEB, 5712950]
[paragraph, [41.0, 606.0, 273.0, 18.0], shoonya_5s3UC1H8N2OCEB, 5712950]
[paragraph, [41.0, 624.0, 273.0, 18.0], shoonya_5s3UC1H8N2OCEB, 5712950]
[paragraph, [41.0, 642.0, 273.0, 18.0], shoonya_5s3UC1H8N2OCEB, 5712950]
[paragraph, [41.0, 660.0, 273.0, 18.0], shoonya_5s3UC1H8N2OCEB, 5712950]
[paragraph, [41.0, 678.0, 273.0, 18.0], shoonya_5s3UC1H8N2OCEB, 5712950]
[paragraph, [41.0, 696.0, 273.0, 18.0], shoonya_5s3UC1H8N2OCEB, 5712950]
[paragraph, [41.0, 714.0, 273.0, 18.0], shoonya_5s3UC1H8N2OCEB, 5712950]
[paragraph, [41.0, 732.0, 273.0, 18.0], shoonya_5s3UC1H8N2OCEB, 5712950]
[paragraph, [314.0, 596.0, 258.0, 18.0], shoonya_6sT44RKU3YLUX7, 5712950]
[paragraph, [314.0, 614.0, 258.0, 18.0], shoonya_6sT44RKU3YLUX7, 5712950]
[paragraph, [314.0, 632.0, 258.0, 18.0], shoonya_6sT44RKU3YLUX7, 5712950]
[paragraph, [314.0, 650.0, 258.0, 18.0], shoonya_6sT44RKU3YLUX7, 5712950]
[paragraph, [314.0, 668.0, 258.0, 18.0], shoonya_6sT44RKU3YLUX7, 5712950]
[paragraph, [314.0, 686.0, 258.0, 18.0], shoonya_6sT44RKU3YLUX7, 5712950]
[paragraph, [316.0, 708.0, 257.0, 18.0], shoonya_3sYBQ90KBOL3G2, 5712950]
[paragraph, [316.0, 726.0, 257.0, 18.0], shoonya_3sYBQ90KBOL3G2, 5712950]
[paragraph, [316.0, 744.0, 257.0, 18.0], shoonya_3sYBQ90KBOL3G2, 5712950]
