[2339, 1654]
[paragraph, [183.0, 252.0, 1280.0, 36.0], shoonya_6s8BOV3I37A2Q1, 5686407]
[paragraph, [183.0, 288.0, 1280.0, 36.0], shoonya_6s8BOV3I37A2Q1, 5686407]
[paragraph, [183.0, 324.0, 1280.0, 36.0], shoonya_6s8BOV3I37A2Q1, 5686407]
[paragraph, [183.0, 360.0, 1280.0, 36.0], shoonya_6s8BOV3I37A2Q1, 5686407]
[paragraph, [376.0, 472.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 508.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 544.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 580.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 616.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 652.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 688.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 724.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 760.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 796.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 832.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 868.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 904.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 940.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [376.0, 976.0, 1086.0, 36.0], shoonya_0sMJVKKU00V08C, 5686407]
[paragraph, [178.0, 1082.0, 1284.0, 36.0], shoonya_1s2YLKB49R0U85, 5686407]
[paragraph, [178.0, 1118.0, 1284.0, 36.0], shoonya_1s2YLKB49R0U85, 5686407]
[paragraph, [178.0, 1154.0, 1284.0, 36.0], shoonya_1s2YLKB49R0U85, 5686407]
[paragraph, [178.0, 1190.0, 1284.0, 36.0], shoonya_1s2YLKB49R0U85, 5686407]
[paragraph, [178.0, 1226.0, 1284.0, 36.0], shoonya_1s2YLKB49R0U85, 5686407]
[paragraph, [178.0, 1262.0, 1284.0, 36.0], shoonya_1s2YLKB49R0U85, 5686407]
[paragraph, [178.0, 1298.0, 1284.0, 36.0], shoonya_1s2YLKB49R0U85, 5686407]
[paragraph, [178.0, 1334.0, 1284.0, 36.0], shoonya_1s2YLKB49R0U85, 5686407]
[paragraph, [178.0, 1370.0, 1284.0, 36.0], shoonya_1s2YLKB49R0U85, 5686407]
[paragraph, [178.0, 1406.0, 1284.0, 36.0], shoonya_1s2YLKB49R0U85, 5686407]
[paragraph, [178.0, 1442.0, 1284.0, 36.0], shoonya_1s2YLKB49R0U85, 5686407]
[paragraph, [178.0, 1478.0, 1284.0, 36.0], shoonya_1s2YLKB49R0U85, 5686407]
[paragraph, [381.0, 1594.0, 1082.0, 36.0], shoonya_3s3HVKGMLIAQS8, 5686407]
[paragraph, [381.0, 1630.0, 1082.0, 36.0], shoonya_3s3HVKGMLIAQS8, 5686407]
[paragraph, [381.0, 1666.0, 1082.0, 36.0], shoonya_3s3HVKGMLIAQS8, 5686407]
[paragraph, [381.0, 1702.0, 1082.0, 36.0], shoonya_3s3HVKGMLIAQS8, 5686407]
[paragraph, [381.0, 1738.0, 1082.0, 36.0], shoonya_3s3HVKGMLIAQS8, 5686407]
[paragraph, [381.0, 1774.0, 1082.0, 36.0], shoonya_3s3HVKGMLIAQS8, 5686407]
[paragraph, [381.0, 1810.0, 1082.0, 36.0], shoonya_3s3HVKGMLIAQS8, 5686407]
[paragraph, [381.0, 1846.0, 1082.0, 36.0], shoonya_3s3HVKGMLIAQS8, 5686407]
[paragraph, [381.0, 1882.0, 1082.0, 36.0], shoonya_3s3HVKGMLIAQS8, 5686407]
[reference, [193.0, 2034.0, 549.0, 36.0], shoonya_4sB2DRYFPHEAWV, 5686407]
