[2339, 1656]
[paragraph, [185.0, 182.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 218.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 254.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 290.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 326.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 362.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 398.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 434.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 470.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 506.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 542.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 578.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 614.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 650.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 686.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 722.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 758.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 794.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 830.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 866.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 902.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 938.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 974.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 1010.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [185.0, 1046.0, 1287.0, 36.0], shoonya_0sJR6PV35NGFWK, 5752381]
[paragraph, [176.0, 1129.0, 1301.0, 36.0], yM0f2TAzRG, 5752381]
[paragraph, [176.0, 1165.0, 1301.0, 36.0], yM0f2TAzRG, 5752381]
[paragraph, [176.0, 1201.0, 1301.0, 36.0], yM0f2TAzRG, 5752381]
[paragraph, [176.0, 1237.0, 1301.0, 36.0], yM0f2TAzRG, 5752381]
[paragraph, [176.0, 1273.0, 1301.0, 36.0], yM0f2TAzRG, 5752381]
[paragraph, [176.0, 1309.0, 1301.0, 36.0], yM0f2TAzRG, 5752381]
[paragraph, [174.0, 1400.0, 507.0, 36.0], 7cq7Egy7Un, 5752381]
[paragraph, [174.0, 1436.0, 507.0, 36.0], 7cq7Egy7Un, 5752381]
[paragraph, [174.0, 1472.0, 507.0, 36.0], 7cq7Egy7Un, 5752381]
[paragraph, [174.0, 1508.0, 507.0, 36.0], 7cq7Egy7Un, 5752381]
[paragraph, [174.0, 1544.0, 507.0, 36.0], 7cq7Egy7Un, 5752381]
[paragraph, [174.0, 1580.0, 507.0, 36.0], 7cq7Egy7Un, 5752381]
[paragraph, [174.0, 1616.0, 507.0, 36.0], 7cq7Egy7Un, 5752381]
[paragraph, [174.0, 1652.0, 507.0, 36.0], 7cq7Egy7Un, 5752381]
[paragraph, [174.0, 1688.0, 507.0, 36.0], 7cq7Egy7Un, 5752381]
[paragraph, [174.0, 1724.0, 507.0, 36.0], 7cq7Egy7Un, 5752381]
[paragraph, [174.0, 1760.0, 507.0, 36.0], 7cq7Egy7Un, 5752381]
[paragraph, [167.0, 1829.0, 1336.0, 36.0], _updAmO31w, 5752381]
[paragraph, [167.0, 1865.0, 1336.0, 36.0], _updAmO31w, 5752381]
[paragraph, [167.0, 1901.0, 1336.0, 36.0], _updAmO31w, 5752381]
[paragraph, [167.0, 1937.0, 1336.0, 36.0], _updAmO31w, 5752381]
[paragraph, [167.0, 1973.0, 1336.0, 36.0], _updAmO31w, 5752381]
[paragraph, [167.0, 2009.0, 1336.0, 36.0], _updAmO31w, 5752381]
[folio, [290.0, 2133.0, 487.0, 36.0], Dzsplru5tm, 5752381]
[folio, [290.0, 2169.0, 487.0, 36.0], Dzsplru5tm, 5752381]
