[1787, 1218]
[paragraph, [108.0, 99.0, 1019.0, 36.0], shoonya_2sAKAPC4W3AG7T, 5651908]
[paragraph, [108.0, 135.0, 1019.0, 36.0], shoonya_2sAKAPC4W3AG7T, 5651908]
[paragraph, [108.0, 171.0, 1019.0, 36.0], shoonya_2sAKAPC4W3AG7T, 5651908]
[paragraph, [103.0, 213.0, 1010.0, 36.0], dJbRn-658P, 5651908]
[paragraph, [103.0, 249.0, 1010.0, 36.0], dJbRn-658P, 5651908]
[paragraph, [208.0, 301.0, 863.0, 36.0], hUXQELmAW8, 5651908]
[paragraph, [208.0, 337.0, 863.0, 36.0], hUXQELmAW8, 5651908]
[paragraph, [208.0, 373.0, 863.0, 36.0], hUXQELmAW8, 5651908]
[paragraph, [208.0, 409.0, 863.0, 36.0], hUXQELmAW8, 5651908]
[paragraph, [91.0, 467.0, 1019.0, 36.0], shoonya_3sSAGAOQ5BF47B, 5651908]
[paragraph, [91.0, 503.0, 1019.0, 36.0], shoonya_3sSAGAOQ5BF47B, 5651908]
[paragraph, [91.0, 539.0, 1019.0, 36.0], shoonya_3sSAGAOQ5BF47B, 5651908]
[paragraph, [91.0, 575.0, 1019.0, 36.0], shoonya_3sSAGAOQ5BF47B, 5651908]
[paragraph, [95.0, 629.0, 1013.0, 36.0], shoonya_0sGOYULCQ4ES3V, 5651908]
[paragraph, [95.0, 665.0, 1013.0, 36.0], shoonya_0sGOYULCQ4ES3V, 5651908]
[paragraph, [95.0, 701.0, 1013.0, 36.0], shoonya_0sGOYULCQ4ES3V, 5651908]
[paragraph, [95.0, 737.0, 1013.0, 36.0], shoonya_0sGOYULCQ4ES3V, 5651908]
[paragraph, [95.0, 773.0, 1013.0, 36.0], shoonya_0sGOYULCQ4ES3V, 5651908]
[paragraph, [95.0, 809.0, 1013.0, 36.0], shoonya_0sGOYULCQ4ES3V, 5651908]
[paragraph, [95.0, 845.0, 1013.0, 36.0], shoonya_0sGOYULCQ4ES3V, 5651908]
[paragraph, [95.0, 881.0, 1013.0, 36.0], shoonya_0sGOYULCQ4ES3V, 5651908]
[paragraph, [95.0, 917.0, 1013.0, 36.0], shoonya_0sGOYULCQ4ES3V, 5651908]
[paragraph, [95.0, 953.0, 1013.0, 36.0], shoonya_0sGOYULCQ4ES3V, 5651908]
[paragraph, [81.0, 986.0, 1033.0, 36.0], shoonya_1sDZ5VRHCB8BQI, 5651908]
[paragraph, [81.0, 1022.0, 1033.0, 36.0], shoonya_1sDZ5VRHCB8BQI, 5651908]
[paragraph, [81.0, 1058.0, 1033.0, 36.0], shoonya_1sDZ5VRHCB8BQI, 5651908]
[paragraph, [81.0, 1094.0, 1033.0, 36.0], shoonya_1sDZ5VRHCB8BQI, 5651908]
[paragraph, [81.0, 1130.0, 1033.0, 36.0], shoonya_1sDZ5VRHCB8BQI, 5651908]
[paragraph, [81.0, 1166.0, 1033.0, 36.0], shoonya_1sDZ5VRHCB8BQI, 5651908]
[paragraph, [81.0, 1202.0, 1033.0, 36.0], shoonya_1sDZ5VRHCB8BQI, 5651908]
[paragraph, [81.0, 1238.0, 1033.0, 36.0], shoonya_1sDZ5VRHCB8BQI, 5651908]
[paragraph, [81.0, 1274.0, 1033.0, 36.0], shoonya_1sDZ5VRHCB8BQI, 5651908]
[paragraph, [98.0, 1298.0, 1015.0, 36.0], 6Ap-YMRAw8, 5651908]
[paragraph, [98.0, 1334.0, 1015.0, 36.0], 6Ap-YMRAw8, 5651908]
[paragraph, [98.0, 1370.0, 1015.0, 36.0], 6Ap-YMRAw8, 5651908]
[paragraph, [98.0, 1406.0, 1015.0, 36.0], 6Ap-YMRAw8, 5651908]
[paragraph, [98.0, 1442.0, 1015.0, 36.0], 6Ap-YMRAw8, 5651908]
[paragraph, [98.0, 1478.0, 1015.0, 36.0], 6Ap-YMRAw8, 5651908]
[paragraph, [98.0, 1514.0, 1015.0, 36.0], 6Ap-YMRAw8, 5651908]
[paragraph, [98.0, 1550.0, 1015.0, 36.0], 6Ap-YMRAw8, 5651908]
[paragraph, [98.0, 1586.0, 1015.0, 36.0], 6Ap-YMRAw8, 5651908]
[footnote, [458.0, 1640.0, 226.0, 36.0], xnx-55q8Nm, 5651908]
