[2278, 1778]
[folio, [1138.0, 50.0, 401.0, 36.0], shoonya_4sTW9PS1Y50F7D, 5758329]
[folio, [1138.0, 86.0, 401.0, 36.0], shoonya_4sTW9PS1Y50F7D, 5758329]
[folio, [1138.0, 122.0, 401.0, 36.0], shoonya_4sTW9PS1Y50F7D, 5758329]
[folio, [1138.0, 158.0, 401.0, 36.0], shoonya_4sTW9PS1Y50F7D, 5758329]
[folio, [1138.0, 194.0, 401.0, 36.0], shoonya_4sTW9PS1Y50F7D, 5758329]
[folio, [124.0, 64.0, 358.0, 36.0], Q2j-vaMjGw, 5758329]
[paragraph, [130.0, 278.0, 1538.0, 36.0], shoonya_1s8LZI2M5DBWJJ, 5758329]
[paragraph, [130.0, 314.0, 1538.0, 36.0], shoonya_1s8LZI2M5DBWJJ, 5758329]
[paragraph, [130.0, 350.0, 1538.0, 36.0], shoonya_1s8LZI2M5DBWJJ, 5758329]
[paragraph, [130.0, 386.0, 1538.0, 36.0], shoonya_1s8LZI2M5DBWJJ, 5758329]
[paragraph, [130.0, 422.0, 1538.0, 36.0], shoonya_1s8LZI2M5DBWJJ, 5758329]
[paragraph, [130.0, 458.0, 1538.0, 36.0], shoonya_1s8LZI2M5DBWJJ, 5758329]
[paragraph, [130.0, 494.0, 1538.0, 36.0], shoonya_1s8LZI2M5DBWJJ, 5758329]
[paragraph, [130.0, 530.0, 1538.0, 36.0], shoonya_1s8LZI2M5DBWJJ, 5758329]
[paragraph, [130.0, 566.0, 1538.0, 36.0], shoonya_1s8LZI2M5DBWJJ, 5758329]
[paragraph, [127.0, 632.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 668.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 704.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 740.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 776.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 812.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 848.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 884.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 920.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 956.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 992.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 1028.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 1064.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 1100.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 1136.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 1172.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 1208.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 1244.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 1280.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[paragraph, [127.0, 1316.0, 1539.0, 36.0], shoonya_0s02RXUHXHPE7D, 5758329]
[section-title, [129.0, 1367.0, 313.0, 52.5], 3YrlLJt5qB, 5758329]
[paragraph, [125.0, 1428.0, 1539.0, 36.0], shoonya_2s90UXBNS7PWO5, 5758329]
[paragraph, [125.0, 1464.0, 1539.0, 36.0], shoonya_2s90UXBNS7PWO5, 5758329]
[paragraph, [125.0, 1500.0, 1539.0, 36.0], shoonya_2s90UXBNS7PWO5, 5758329]
[paragraph, [125.0, 1536.0, 1539.0, 36.0], shoonya_2s90UXBNS7PWO5, 5758329]
