[2035, 1452]
[paragraph, [262.0, 243.0, 1089.0, 36.0], shoonya_4sNC4OPSNSUSVR, 5652047]
[paragraph, [262.0, 279.0, 1089.0, 36.0], shoonya_4sNC4OPSNSUSVR, 5652047]
[paragraph, [262.0, 315.0, 1089.0, 36.0], shoonya_4sNC4OPSNSUSVR, 5652047]
[paragraph, [262.0, 351.0, 1089.0, 36.0], shoonya_4sNC4OPSNSUSVR, 5652047]
[paragraph, [262.0, 387.0, 1089.0, 36.0], shoonya_4sNC4OPSNSUSVR, 5652047]
[paragraph, [260.0, 466.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 502.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 538.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 574.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 610.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 646.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 682.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 718.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 754.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 790.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 826.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 862.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 898.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 934.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 970.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 1006.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 1042.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 1078.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 1114.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 1150.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 1186.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 1222.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [260.0, 1258.0, 1087.0, 36.0], shoonya_0s98DXUKHMU8DE, 5652047]
[paragraph, [256.0, 1357.0, 1111.0, 36.0], shoonya_1sOPSX5ID833MS, 5652047]
[paragraph, [256.0, 1393.0, 1111.0, 36.0], shoonya_1sOPSX5ID833MS, 5652047]
[paragraph, [256.0, 1429.0, 1111.0, 36.0], shoonya_1sOPSX5ID833MS, 5652047]
[paragraph, [256.0, 1465.0, 1111.0, 36.0], shoonya_1sOPSX5ID833MS, 5652047]
[paragraph, [256.0, 1501.0, 1111.0, 36.0], shoonya_1sOPSX5ID833MS, 5652047]
[paragraph, [256.0, 1537.0, 1111.0, 36.0], shoonya_1sOPSX5ID833MS, 5652047]
[paragraph, [256.0, 1573.0, 1111.0, 36.0], shoonya_1sOPSX5ID833MS, 5652047]
[paragraph, [256.0, 1609.0, 1111.0, 36.0], shoonya_1sOPSX5ID833MS, 5652047]
[paragraph, [256.0, 1645.0, 1111.0, 36.0], shoonya_1sOPSX5ID833MS, 5652047]
[paragraph, [256.0, 1681.0, 1111.0, 36.0], shoonya_1sOPSX5ID833MS, 5652047]
[paragraph, [256.0, 1717.0, 1111.0, 36.0], shoonya_1sOPSX5ID833MS, 5652047]
[paragraph, [256.0, 1753.0, 1111.0, 36.0], shoonya_1sOPSX5ID833MS, 5652047]
[paragraph, [259.0, 1846.0, 1100.0, 36.0], shoonya_3sHLK68XDSP0PB, 5652047]
[paragraph, [259.0, 1882.0, 1100.0, 36.0], shoonya_3sHLK68XDSP0PB, 5652047]
[paragraph, [259.0, 1918.0, 1100.0, 36.0], shoonya_3sHLK68XDSP0PB, 5652047]
