[3508, 2481]
[contact-info, [491.0, 323.0, 1517.0, 52.5], FgBmJdOTKL, 6490630]
[contact-info, [491.0, 375.5, 1517.0, 52.5], FgBmJdOTKL, 6490630]
[contact-info, [491.0, 428.0, 1517.0, 52.5], FgBmJdOTKL, 6490630]
[contact-info, [491.0, 480.5, 1517.0, 52.5], FgBmJdOTKL, 6490630]
[paragraph, [777.0, 702.0, 917.0, 52.5], I8p8YdFTqr, 6490630]
[headline, [705.0, 808.0, 1041.0, 52.5], xHmylb7f52, 6490630]
[headline, [705.0, 860.5, 1041.0, 52.5], xHmylb7f52, 6490630]
[sub-headline, [621.0, 1038.0, 1237.0, 73.5], RxUX2MR-qF, 6490630]
[dateline, [1924.0, 1309.0, 329.0, 52.5], yAPIrQT5RO, 6490630]
[paragraph, [208.0, 1579.0, 469.0, 52.5], Yc-Xh8ZMdR, 6490630]
[paragraph, [202.0, 1682.0, 2089.0, 52.5], wT1S2UIyYE, 6490630]
[paragraph, [202.0, 1734.5, 2089.0, 52.5], wT1S2UIyYE, 6490630]
[paragraph, [202.0, 1787.0, 2089.0, 52.5], wT1S2UIyYE, 6490630]
[paragraph, [202.0, 1839.5, 2089.0, 52.5], wT1S2UIyYE, 6490630]
[paragraph, [202.0, 1892.0, 2089.0, 52.5], wT1S2UIyYE, 6490630]
[paragraph, [202.0, 1944.5, 2089.0, 52.5], wT1S2UIyYE, 6490630]
[folio, [656.0, 3035.0, 1124.0, 52.5], pdrsFZGHne, 6490630]
[folio, [656.0, 3087.5, 1124.0, 52.5], pdrsFZGHne, 6490630]
[folio, [656.0, 3140.0, 1124.0, 52.5], pdrsFZGHne, 6490630]
