[1275, 750]
[folio, [206.0, 83.0, 330.0, 18.0], shoonya_3s3S74IUPKI1DZ, 5767226]
[folio, [206.0, 101.0, 330.0, 18.0], shoonya_3s3S74IUPKI1DZ, 5767226]
[paragraph, [62.0, 145.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 163.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 181.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 199.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 217.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 235.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 253.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 271.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 289.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 307.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 325.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 343.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 361.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 379.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [62.0, 397.0, 627.0, 18.0], shoonya_1sKF7HWULNMPDS, 5767226]
[paragraph, [78.0, 448.0, 512.0, 18.0], shoonya_2s7SKHKLBDU761, 5767226]
[paragraph, [78.0, 466.0, 512.0, 18.0], shoonya_2s7SKHKLBDU761, 5767226]
[paragraph, [78.0, 484.0, 512.0, 18.0], shoonya_2s7SKHKLBDU761, 5767226]
[paragraph, [78.0, 502.0, 512.0, 18.0], shoonya_2s7SKHKLBDU761, 5767226]
[paragraph, [78.0, 520.0, 512.0, 18.0], shoonya_2s7SKHKLBDU761, 5767226]
[paragraph, [78.0, 538.0, 512.0, 18.0], shoonya_2s7SKHKLBDU761, 5767226]
[paragraph, [78.0, 556.0, 512.0, 18.0], shoonya_2s7SKHKLBDU761, 5767226]
[paragraph, [78.0, 574.0, 512.0, 18.0], shoonya_2s7SKHKLBDU761, 5767226]
[paragraph, [78.0, 592.0, 512.0, 18.0], shoonya_2s7SKHKLBDU761, 5767226]
[paragraph, [486.0, 622.0, 201.0, 18.0], _u9YD_Isef, 5767226]
[paragraph, [486.0, 640.0, 201.0, 18.0], _u9YD_Isef, 5767226]
[paragraph, [66.0, 674.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 692.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 710.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 728.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 746.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 764.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 782.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 800.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 818.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 836.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 854.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 872.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 890.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 908.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 926.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 944.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 962.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 980.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 998.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 1016.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 1034.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 1052.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 1070.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 1088.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 1106.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 1124.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 1142.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 1160.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
[paragraph, [66.0, 1178.0, 620.0, 18.0], shoonya_0s1Y5A7HDZLM0O, 5767226]
